shipment_id,delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,origin_warehouse_id,weather_condition,delayed,distance_km,package_weight_kg,departure_date,expected_delivery_date,actual_delivery_date,carrier_sla_met,delivery_status,delivery_rating,delivery_cost
SHP-10026,250.99,shadowfax,documents,ev van,two day,north,WH_DELHI_N,stormy,no,115.4,0.67,2024-07-26 03:00:00,2024-07-26 07:33:36,2024-07-26 08:10:48,1,delivered,4,578.59
SHP-10027,250.99,dhl,clothing,ev bike,express,east,WH_KOLKATA_E,foggy,yes,293.8,41.03,2024-07-27 06:00:00,2024-07-27 14:31:48,2024-07-28 07:26:24,0,delayed,3,1632.7206
SHP-10028,250.99,amazon logistics,cosmetics,scooter,standard,east,WH_KOLKATA_E,clear,no,286.8,46.67,2024-07-28 09:00:00,2024-07-28 17:22:12,2024-07-28 17:34:12,1,delivered,3,1574.01
SHP-10029,250.99,fedex,furniture,truck,express,south,WH_BLR_S,hot,no,136.1,48.1,2024-07-29 12:00:00,2024-07-29 17:01:12,2024-07-29 18:07:12,1,delivered,5,874.8
SHP-10030,250.99,dhl,furniture,bike,two day,east,WH_KOLKATA_E,rainy,no,291.4,6.12,2024-07-30 15:00:00,2024-07-30 23:28:48,2024-07-30 23:01:12,1,delivered,5,1475.36
SHP-10031,250.99,fedex,furniture,bike,standard,south,WH_BLR_S,hot,no,295.0,19.68,2024-07-31 18:00:00,2024-08-01 02:33:36,2024-08-01 03:39:00,1,delivered,5,1534.04
SHP-10032,250.99,ekart,cosmetics,truck,same day,central,WH_NAGPUR_C,rainy,yes,223.3,6.29,2024-08-01 21:00:00,2024-08-02 03:57:36,2024-08-03 01:55:48,0,failed,1,1235.37
SHP-10033,250.99,delhivery,automobile parts,scooter,express,south,WH_BLR_S,hot,yes,242.5,46.73,2024-08-02 00:00:00,2024-08-02 07:23:24,2024-08-03 07:27:00,0,failed,1,1402.69
SHP-10034,250.99,fedex,furniture,ev bike,two day,central,WH_NAGPUR_C,rainy,no,35.1,22.72,2024-08-03 03:00:00,2024-08-03 05:46:48,2024-08-03 06:35:24,1,delivered,5,243.66
SHP-10035,250.99,amazon logistics,clothing,bike,express,central,WH_NAGPUR_C,stormy,yes,81.8,45.51,2024-08-04 06:00:00,2024-08-04 09:49:12,2024-08-05 06:16:48,0,delayed,2,595.53
SHP-10036,250.99,delhivery,documents,bike,same day,east,WH_KOLKATA_E,clear,no,37.6,22.81,2024-08-05 09:00:00,2024-08-05 11:50:24,2024-08-05 11:52:12,1,delivered,4,356.43
SHP-10037,250.99,amazon logistics,furniture,ev bike,express,north,WH_DELHI_N,rainy,yes,46.8,4.72,2024-08-06 12:00:00,2024-08-06 15:02:24,2024-08-06 21:39:36,0,delayed,2,298.16
SHP-10038,250.99,amazon logistics,electronics,scooter,same day,central,WH_NAGPUR_C,hot,no,233.4,18.0,2024-08-07 15:00:00,2024-08-07 22:11:24,2024-08-07 22:49:48,1,delivered,5,1321.0
SHP-10039,250.99,ekart,documents,bike,standard,east,WH_KOLKATA_E,rainy,no,62.2,48.58,2024-08-08 18:00:00,2024-08-08 21:22:48,2024-08-08 21:59:24,1,delivered,3,456.74
SHP-10040,250.99,shadowfax,clothing,ev bike,standard,south,WH_BLR_S,foggy,no,114.0,43.85,2024-08-09 21:00:00,2024-08-10 01:31:48,2024-08-10 01:36:00,1,delivered,4,701.55
SHP-10041,250.99,blue dart,automobile parts,ev bike,same day,north,WH_DELHI_N,foggy,no,131.5,25.79,2024-08-10 00:00:00,2024-08-10 04:55:12,2024-08-10 06:36:00,1,delivered,5,834.87
SHP-10042,250.99,xpressbees,groceries,ev van,express,south,WH_BLR_S,rainy,yes,21.4,16.58,2024-08-11 03:00:00,2024-08-11 05:28:48,2024-08-11 16:48:00,0,delayed,3,206.74
SHP-10043,250.99,xpressbees,fragile items,truck,standard,west,WH_MUMBAI_W,stormy,no,258.5,8.37,2024-08-12 06:00:00,2024-08-12 13:44:24,2024-08-12 13:42:36,1,delivered,5,1317.61
SHP-10044,250.99,dhl,furniture,van,two day,east,WH_KOLKATA_E,rainy,no,253.9,7.07,2024-08-13 09:00:00,2024-08-13 16:38:24,2024-08-13 15:55:12,1,delivered,3,1290.71
SHP-10045,250.99,delhivery,furniture,ev bike,same day,north,WH_DELHI_N,stormy,no,6.7,7.96,2024-08-14 12:00:00,2024-08-14 14:09:00,2024-08-14 14:35:24,1,delivered,4,157.38
SHP-10046,250.99,ecom express,automobile parts,ev bike,standard,west,WH_MUMBAI_W,hot,no,178.1,26.7,2024-08-15 15:00:00,2024-08-15 20:57:36,2024-08-15 22:01:12,1,delivered,4,970.6
SHP-10047,250.99,fedex,cosmetics,truck,standard,south,WH_BLR_S,hot,no,180.0,35.04,2024-08-16 18:00:00,2024-08-17 00:00:00,2024-08-17 00:31:48,1,delivered,3,1005.12
SHP-10048,250.99,ecom express,documents,scooter,two day,north,WH_DELHI_N,rainy,no,187.9,14.96,2024-08-17 21:00:00,2024-08-18 03:10:48,2024-08-18 02:39:00,1,delivered,4,984.38
SHP-10049,250.99,xpressbees,documents,ev van,express,west,WH_MUMBAI_W,hot,yes,78.3,49.22,2024-08-18 00:00:00,2024-08-18 03:44:24,2024-08-18 09:55:12,0,failed,1,589.16
SHP-10050,250.99,amazon logistics,pharmacy,ev bike,express,west,WH_MUMBAI_W,hot,no,51.6,23.45,2024-08-19 03:00:00,2024-08-19 06:09:00,2024-08-19 07:45:00,1,delivered,4,378.35
SHP-10051,250.99,xpressbees,electronics,ev van,same day,central,WH_NAGPUR_C,stormy,no,26.9,29.86,2024-08-20 06:00:00,2024-08-20 08:36:00,2024-08-20 07:51:00,1,delivered,5,324.08
SHP-10052,250.99,blue dart,clothing,truck,express,north,WH_DELHI_N,hot,yes,216.7,26.89,2024-08-21 09:00:00,2024-08-21 15:49:12,2024-08-22 16:21:36,0,delayed,2,1214.17
SHP-10053,250.99,dhl,electronics,van,standard,south,WH_BLR_S,foggy,no,148.2,38.6,2024-08-22 12:00:00,2024-08-22 17:17:24,2024-08-22 17:54:00,1,delivered,4,856.8
SHP-10054,250.99,fedex,cosmetics,ev van,same day,south,WH_BLR_S,clear,no,184.2,46.79,2024-08-23 15:00:00,2024-08-23 21:05:24,2024-08-23 22:52:12,1,delivered,4,1161.37
SHP-10055,250.99,fedex,groceries,truck,same day,east,WH_KOLKATA_E,stormy,no,167.7,42.4,2024-08-24 18:00:00,2024-08-24 23:43:48,2024-08-24 23:26:24,1,delivered,5,1065.7
SHP-10056,250.99,delhivery,electronics,ev bike,standard,central,WH_NAGPUR_C,cold,no,197.7,25.84,2024-08-25 21:00:00,2024-08-26 03:23:24,2024-08-26 04:40:12,1,delivered,5,1066.02
SHP-10057,250.99,fedex,cosmetics,ev van,standard,north,WH_DELHI_N,foggy,no,211.9,46.94,2024-08-26 00:00:00,2024-08-26 06:42:36,2024-08-26 07:18:00,1,delivered,5,1200.32
SHP-10058,250.99,blue dart,pharmacy,scooter,same day,west,WH_MUMBAI_W,stormy,no,64.3,21.05,2024-08-27 03:00:00,2024-08-27 06:25:48,2024-08-27 07:35:24,1,delivered,5,484.65
SHP-10059,250.99,xpressbees,cosmetics,scooter,two day,east,WH_KOLKATA_E,hot,no,206.7,3.87,2024-08-28 06:00:00,2024-08-28 12:35:24,2024-08-28 11:46:48,1,delivered,4,1045.11
SHP-10060,250.99,xpressbees,clothing,bike,two day,east,WH_KOLKATA_E,cold,no,83.5,6.81,2024-08-29 09:00:00,2024-08-29 12:51:36,2024-08-29 12:18:00,1,delivered,5,437.93
SHP-10061,250.99,ecom express,fragile items,truck,same day,central,WH_NAGPUR_C,foggy,no,9.3,47.62,2024-08-30 12:00:00,2024-08-30 14:12:36,2024-08-30 13:36:36,1,delivered,5,289.36
SHP-10062,250.99,xpressbees,clothing,ev bike,standard,west,WH_MUMBAI_W,rainy,no,245.9,47.01,2024-08-31 15:00:00,2024-08-31 22:27:36,2024-08-31 23:31:48,1,delivered,3,1370.53
SHP-10063,250.99,dhl,pharmacy,ev van,express,north,WH_DELHI_N,stormy,yes,225.7,45.7,2024-09-01 18:00:00,2024-09-02 01:01:12,2024-09-02 22:02:24,0,delayed,2,1315.6
SHP-10064,250.99,ecom express,pharmacy,bike,express,east,WH_KOLKATA_E,hot,yes,226.0,37.62,2024-09-02 21:00:00,2024-09-03 04:01:12,2024-09-04 00:43:12,0,delayed,2,1292.86
SHP-10065,250.99,dhl,clothing,bike,two day,west,WH_MUMBAI_W,hot,no,113.3,34.03,2024-09-03 00:00:00,2024-09-03 04:31:12,2024-09-03 04:34:48,1,delivered,5,668.59
SHP-10066,250.99,ekart,groceries,ev bike,standard,north,WH_DELHI_N,stormy,no,232.3,41.91,2024-09-04 03:00:00,2024-09-04 10:09:36,2024-09-04 10:21:00,1,delivered,4,1287.23
SHP-10067,250.99,ecom express,electronics,scooter,express,east,WH_KOLKATA_E,cold,yes,87.7,22.38,2024-09-05 06:00:00,2024-09-05 09:57:00,2024-09-06 04:32:24,0,failed,2,555.64
SHP-10068,250.99,dhl,furniture,van,same day,east,WH_KOLKATA_E,rainy,no,90.1,27.46,2024-09-06 09:00:00,2024-09-06 13:00:00,2024-09-06 12:33:00,1,delivered,4,632.88
SHP-10069,250.99,delhivery,cosmetics,bike,express,north,WH_DELHI_N,rainy,yes,110.4,44.94,2024-09-07 12:00:00,2024-09-07 16:27:00,2024-09-08 14:16:48,0,delayed,2,736.82
SHP-10070,250.99,fedex,documents,bike,same day,central,WH_NAGPUR_C,cold,no,217.3,3.03,2024-09-08 15:00:00,2024-09-08 21:49:48,2024-09-08 21:06:00,1,delivered,5,1195.59
SHP-10071,250.99,amazon logistics,furniture,truck,standard,south,WH_BLR_S,rainy,no,75.2,28.25,2024-09-09 18:00:00,2024-09-09 21:40:12,2024-09-09 22:16:48,1,delivered,3,460.75
SHP-10072,250.99,blue dart,automobile parts,ev bike,two day,south,WH_BLR_S,hot,no,23.2,19.18,2024-09-10 21:00:00,2024-09-10 23:31:12,2024-09-10 23:13:12,1,delivered,5,173.54
SHP-10073,250.99,fedex,documents,ev van,express,north,WH_DELHI_N,rainy,yes,78.5,27.87,2024-09-11 00:00:00,2024-09-11 03:44:24,2024-09-11 18:18:00,0,delayed,3,526.11
SHP-10074,250.99,blue dart,documents,van,express,north,WH_DELHI_N,hot,yes,138.3,47.87,2024-09-12 03:00:00,2024-09-12 08:04:12,2024-09-13 01:49:12,0,delayed,3,885.11
SHP-10075,250.99,xpressbees,clothing,truck,two day,north,WH_DELHI_N,cold,no,96.4,39.33,2024-09-13 06:00:00,2024-09-13 10:08:24,2024-09-13 10:34:48,1,delivered,4,599.99
SHP-10076,250.99,fedex,furniture,ev van,standard,west,WH_MUMBAI_W,cold,no,216.2,23.93,2024-09-14 09:00:00,2024-09-14 15:48:00,2024-09-14 16:33:36,1,delivered,4,1152.79
SHP-10077,250.99,ekart,clothing,van,express,south,WH_BLR_S,stormy,yes,24.1,34.1,2024-09-15 12:00:00,2024-09-15 14:32:24,2024-09-16 07:47:24,0,delayed,3,272.8
SHP-10078,250.99,ekart,fragile items,scooter,standard,east,WH_KOLKATA_E,rainy,no,197.1,28.23,2024-09-16 15:00:00,2024-09-16 21:22:48,2024-09-16 22:08:24,1,delivered,4,1070.19
SHP-10079,250.99,shadowfax,documents,ev bike,same day,west,WH_MUMBAI_W,foggy,no,94.8,10.02,2024-09-17 18:00:00,2024-09-17 22:06:36,2024-09-17 22:48:00,1,delivered,4,604.06
SHP-10080,250.99,xpressbees,pharmacy,bike,express,south,WH_BLR_S,hot,yes,56.0,22.91,2024-09-18 21:00:00,2024-09-19 00:14:24,2024-09-19 12:27:00,0,delayed,2,398.73
SHP-10081,250.99,ecom express,clothing,scooter,same day,east,WH_KOLKATA_E,stormy,yes,70.7,5.72,2024-09-19 00:00:00,2024-09-19 03:34:12,2024-09-19 22:12:36,0,delayed,3,470.66
SHP-10082,250.99,dhl,documents,bike,same day,east,WH_KOLKATA_E,rainy,no,60.4,22.93,2024-09-20 03:00:00,2024-09-20 06:20:24,2024-09-20 06:04:48,1,delivered,5,470.79
SHP-10083,250.99,blue dart,clothing,truck,same day,central,WH_NAGPUR_C,stormy,yes,258.4,22.08,2024-09-21 06:00:00,2024-09-21 13:44:24,2024-09-22 02:10:48,0,failed,2,1458.24
SHP-10084,250.99,amazon logistics,furniture,scooter,two day,central,WH_NAGPUR_C,cold,no,89.3,34.98,2024-09-22 09:00:00,2024-09-22 12:58:48,2024-09-22 14:47:24,1,delivered,4,551.44
SHP-10085,250.99,shadowfax,electronics,van,two day,south,WH_BLR_S,clear,no,244.0,13.62,2024-09-23 12:00:00,2024-09-23 19:25:12,2024-09-23 18:26:24,1,delivered,4,1260.86
SHP-10086,250.99,xpressbees,electronics,truck,standard,south,WH_BLR_S,stormy,no,87.8,19.77,2024-09-24 15:00:00,2024-09-24 18:57:00,2024-09-24 18:37:48,1,delivered,4,498.31
SHP-10087,250.99,delhivery,furniture,scooter,same day,east,WH_KOLKATA_E,stormy,no,3.6,20.7,2024-09-25 18:00:00,2024-09-25 20:04:48,2024-09-25 20:10:48,1,delivered,4,172.6
SHP-10088,250.99,ekart,furniture,van,two day,south,WH_BLR_S,cold,no,3.6,8.75,2024-09-26 21:00:00,2024-09-26 23:04:48,2024-09-26 23:32:24,1,delivered,3,95.6674
SHP-10089,250.99,xpressbees,documents,van,standard,east,WH_KOLKATA_E,rainy,no,111.0,36.68,2024-09-27 00:00:00,2024-09-27 04:28:12,2024-09-27 06:01:12,1,delivered,4,665.04
SHP-10090,250.99,amazon logistics,groceries,bike,express,east,WH_KOLKATA_E,rainy,yes,256.4,33.53,2024-09-28 03:00:00,2024-09-28 10:42:00,2024-09-29 06:28:12,0,delayed,3,1432.59
SHP-10091,250.99,dhl,groceries,ev van,same day,east,WH_KOLKATA_E,foggy,no,177.9,20.16,2024-07-01 06:00:00,2024-07-01 11:57:00,2024-07-01 11:07:12,1,delivered,5,1049.98
SHP-10092,250.99,amazon logistics,cosmetics,ev van,two day,east,WH_KOLKATA_E,rainy,no,204.2,8.09,2024-07-02 09:00:00,2024-07-02 15:32:24,2024-07-02 17:03:36,1,delivered,4,1045.27
SHP-10093,250.99,amazon logistics,furniture,ev bike,standard,central,WH_NAGPUR_C,cold,no,125.0,39.41,2024-07-03 12:00:00,2024-07-03 16:46:48,2024-07-03 15:55:48,1,delivered,5,743.23
SHP-10094,250.99,dhl,fragile items,bike,two day,north,WH_DELHI_N,hot,no,83.3,34.71,2024-07-04 15:00:00,2024-07-04 18:51:00,2024-07-04 17:54:36,1,delivered,4,520.63
SHP-10095,250.99,ecom express,clothing,van,standard,west,WH_MUMBAI_W,foggy,no,193.2,33.28,2024-07-05 18:00:00,2024-07-06 00:17:24,2024-07-06 01:22:48,1,delivered,4,1065.84
SHP-10096,250.99,ekart,clothing,van,two day,east,WH_KOLKATA_E,foggy,no,174.3,47.29,2024-07-06 21:00:00,2024-07-07 02:52:12,2024-07-07 04:52:12,1,delivered,5,1013.37
SHP-10097,250.99,ekart,groceries,bike,same day,west,WH_MUMBAI_W,clear,no,11.4,40.22,2024-07-07 00:00:00,2024-07-07 02:15:00,2024-07-07 03:56:24,1,delivered,5,277.66
SHP-10098,250.99,xpressbees,electronics,ev van,express,east,WH_KOLKATA_E,clear,yes,166.4,44.96,2024-07-08 03:00:00,2024-07-08 08:42:00,2024-07-09 07:56:24,0,delayed,2,1016.88
SHP-10099,250.99,shadowfax,cosmetics,van,standard,west,WH_MUMBAI_W,stormy,no,189.6,38.07,2024-07-09 06:00:00,2024-07-09 12:12:36,2024-07-09 11:13:48,1,delivered,5,1062.21
SHP-10100,250.99,blue dart,groceries,truck,express,west,WH_MUMBAI_W,stormy,yes,111.2,37.33,2024-07-10 09:00:00,2024-07-10 13:28:12,2024-07-11 06:13:48,0,delayed,2,717.99
SHP-10101,250.99,amazon logistics,groceries,ev bike,same day,west,WH_MUMBAI_W,hot,no,103.2,37.97,2024-07-11 12:00:00,2024-07-11 16:17:24,2024-07-11 17:27:36,1,delivered,5,729.91
SHP-10102,250.99,blue dart,furniture,scooter,standard,east,WH_KOLKATA_E,clear,no,236.4,47.28,2024-07-12 15:00:00,2024-07-12 22:15:00,2024-07-12 23:43:12,1,delivered,4,1323.84
SHP-10103,250.99,amazon logistics,electronics,van,same day,central,WH_NAGPUR_C,clear,no,111.9,26.34,2024-07-13 18:00:00,2024-07-13 22:29:24,2024-07-13 23:38:24,1,delivered,5,738.52
SHP-10104,250.99,delhivery,groceries,ev van,standard,south,WH_BLR_S,stormy,no,86.6,20.64,2024-07-14 21:00:00,2024-07-15 00:55:12,2024-07-15 01:31:48,1,delivered,5,494.92
SHP-10105,250.99,amazon logistics,automobile parts,ev bike,standard,west,WH_MUMBAI_W,clear,no,235.6,48.07,2024-07-15 00:00:00,2024-07-15 07:14:24,2024-07-15 07:40:12,1,delivered,5,1322.21
SHP-10106,250.99,amazon logistics,pharmacy,truck,same day,south,WH_BLR_S,cold,no,295.5,48.45,2024-07-16 03:00:00,2024-07-16 11:34:12,2024-07-16 13:04:48,1,delivered,4,1632.7206
SHP-10107,250.99,amazon logistics,pharmacy,truck,two day,west,WH_MUMBAI_W,foggy,no,56.3,43.65,2024-07-17 06:00:00,2024-07-17 09:15:00,2024-07-17 08:52:12,1,delivered,5,412.45
SHP-10108,250.99,shadowfax,furniture,bike,two day,central,WH_NAGPUR_C,stormy,no,114.2,28.82,2024-07-18 09:00:00,2024-07-18 13:32:24,2024-07-18 15:26:24,1,delivered,5,657.46
SHP-10109,250.99,fedex,furniture,scooter,same day,north,WH_DELHI_N,hot,no,3.6,31.41,2024-07-19 12:00:00,2024-07-19 14:04:48,2024-07-19 15:12:36,1,delivered,4,203.23
SHP-10110,250.99,xpressbees,automobile parts,bike,same day,west,WH_MUMBAI_W,stormy,yes,146.2,22.55,2024-07-20 15:00:00,2024-07-20 20:15:00,2024-07-21 15:06:00,0,failed,2,898.65
SHP-10111,250.99,ekart,automobile parts,ev bike,same day,east,WH_KOLKATA_E,clear,no,85.6,10.69,2024-07-21 18:00:00,2024-07-21 21:54:00,2024-07-21 22:29:24,1,delivered,4,560.07
SHP-10112,250.99,amazon logistics,groceries,ev van,express,south,WH_BLR_S,rainy,yes,247.9,5.23,2024-07-22 21:00:00,2024-07-23 04:30:36,2024-07-24 01:27:00,0,failed,2,1305.19
SHP-10113,250.99,shadowfax,automobile parts,bike,standard,south,WH_BLR_S,foggy,no,274.8,0.82,2024-07-23 00:00:00,2024-07-23 08:06:36,2024-07-23 07:22:12,1,delivered,4,1376.46
SHP-10114,250.99,fedex,electronics,scooter,standard,west,WH_MUMBAI_W,clear,no,35.7,10.8,2024-07-24 03:00:00,2024-07-24 05:47:24,2024-07-24 06:18:36,1,delivered,3,210.9
SHP-10115,250.99,fedex,documents,van,express,central,WH_NAGPUR_C,stormy,yes,259.3,27.01,2024-07-25 06:00:00,2024-07-25 13:45:36,2024-07-26 03:19:48,0,failed,1,1427.53
SHP-10116,250.99,shadowfax,documents,ev bike,same day,south,WH_BLR_S,clear,no,65.3,45.09,2024-07-26 09:00:00,2024-07-26 12:27:00,2024-07-26 13:13:48,1,delivered,5,561.77
SHP-10117,250.99,delhivery,cosmetics,van,express,south,WH_BLR_S,clear,no,93.1,20.89,2024-07-27 12:00:00,2024-07-27 16:04:12,2024-07-27 16:10:48,1,delivered,3,578.17
SHP-10118,250.99,blue dart,pharmacy,bike,standard,central,WH_NAGPUR_C,hot,no,265.8,32.11,2024-07-28 15:00:00,2024-07-28 22:54:36,2024-07-28 23:16:12,1,delivered,5,1425.33
SHP-10119,250.99,ekart,furniture,truck,two day,west,WH_MUMBAI_W,clear,no,110.2,23.24,2024-07-29 18:00:00,2024-07-29 22:27:00,2024-07-29 23:05:24,1,delivered,4,620.72
SHP-10120,250.99,blue dart,documents,bike,standard,west,WH_MUMBAI_W,clear,no,6.0,0.88,2024-07-30 21:00:00,2024-07-30 23:07:48,2024-07-30 23:46:48,1,delivered,4,95.6674
SHP-10121,250.99,dhl,furniture,truck,two day,east,WH_KOLKATA_E,foggy,no,16.5,21.49,2024-07-31 00:00:00,2024-07-31 02:22:12,2024-07-31 01:58:12,1,delivered,4,146.97
SHP-10122,250.99,xpressbees,documents,ev van,standard,north,WH_DELHI_N,cold,no,102.0,18.67,2024-08-01 03:00:00,2024-08-01 07:16:12,2024-08-01 08:19:12,1,delivered,4,566.01
SHP-10123,250.99,shadowfax,furniture,bike,express,north,WH_DELHI_N,rainy,yes,265.4,15.96,2024-08-02 06:00:00,2024-08-02 13:54:00,2024-08-02 21:39:36,0,delayed,3,1424.88
SHP-10124,250.99,fedex,groceries,ev van,two day,north,WH_DELHI_N,foggy,no,27.5,15.43,2024-08-03 09:00:00,2024-08-03 11:36:36,2024-08-03 10:37:12,1,delivered,5,183.79
SHP-10125,250.99,amazon logistics,fragile items,truck,two day,south,WH_BLR_S,hot,no,59.5,7.79,2024-08-04 12:00:00,2024-08-04 15:19:12,2024-08-04 14:40:12,1,delivered,3,320.87
SHP-10126,250.99,shadowfax,cosmetics,bike,express,north,WH_DELHI_N,cold,no,290.2,29.26,2024-08-05 15:00:00,2024-08-05 23:27:00,2024-08-05 23:52:12,1,delivered,4,1588.78
SHP-10127,250.99,delhivery,clothing,scooter,standard,east,WH_KOLKATA_E,rainy,no,124.0,40.2,2024-08-06 18:00:00,2024-08-06 22:45:36,2024-08-06 23:34:12,1,delivered,4,740.6
SHP-10128,250.99,xpressbees,automobile parts,scooter,two day,north,WH_DELHI_N,clear,no,261.9,41.68,2024-08-07 21:00:00,2024-08-08 04:49:12,2024-08-08 06:12:00,1,delivered,4,1434.54
SHP-10129,250.99,shadowfax,pharmacy,ev van,two day,central,WH_NAGPUR_C,rainy,no,115.6,13.57,2024-08-08 00:00:00,2024-08-08 04:34:12,2024-08-08 03:53:24,1,delivered,5,618.71
SHP-10130,250.99,shadowfax,groceries,ev bike,express,east,WH_KOLKATA_E,hot,no,156.0,14.49,2024-08-09 03:00:00,2024-08-09 08:28:12,2024-08-09 10:01:12,1,delivered,3,873.47
