supplier_id,supplier_country,avg_reliability,avg_lead_time,risk_class,supplier_name,corridor_tier
P0008_S1,Hungary,0.47829081809375,5.80594153934375,High Risk,Global Vendor P0008_S1,Global
P0008_S2,Paraguay,0.47829081809375,5.80594153934375,High Risk,Global Vendor P0008_S2,Global
P0009_S1,Belgium,0.4508847658857143,5.0342774597428575,High Risk,Global Vendor P0009_S1,Global
P0009_S2,Oman,0.4508847658857143,5.0342774597428575,High Risk,Global Vendor P0009_S2,GCC
P0010_S1,Morocco,0.4846727181258064,4.886631330483871,High Risk,Global Vendor P0010_S1,Global
P0010_S2,Nigeria,0.4846727181258064,4.886631330483871,High Risk,Global Vendor P0010_S2,Global
P0010_S3,Canada,0.4846727181258064,4.886631330483871,High Risk,Global Vendor P0010_S3,Global
P0011_S1,China,0.440153250275,5.117370954,High Risk,Global Vendor P0011_S1,Global
P0011_S2,Oman,0.440153250275,5.117370954,High Risk,Global Vendor P0011_S2,GCC
P0011_S3,Austria,0.440153250275,5.117370954,High Risk,Global Vendor P0011_S3,Global
P0011_S4,Pakistan,0.440153250275,5.117370954,High Risk,Global Vendor P0011_S4,South Asia
P0012_S1,Iran,0.46173779321875,4.549813032625,High Risk,Global Vendor P0012_S1,Global
P0012_S2,Austria,0.46173779321875,4.549813032625,High Risk,Global Vendor P0012_S2,Global
P0013_S1,Morocco,0.36842768862068964,5.556488066827586,High Risk,Global Vendor P0013_S1,Global
P0013_S2,South Korea,0.36842768862068964,5.556488066827586,High Risk,Global Vendor P0013_S2,Global
P0013_S3,Hungary,0.36842768862068964,5.556488066827586,High Risk,Global Vendor P0013_S3,Global
P0013_S4,Vietnam,0.36842768862068964,5.556488066827586,High Risk,Global Vendor P0013_S4,Global
P0013_S5,Senegal,0.36842768862068964,5.556488066827586,High Risk,Global Vendor P0013_S5,Global
P0014_S1,Greece,0.5309245268620689,4.955189824965517,High Risk,Global Vendor P0014_S1,Global
P0014_S2,Jordan,0.5309245268620689,4.955189824965517,High Risk,Global Vendor P0014_S2,Global
P0015_S1,Algeria,0.57760262725,4.957297279214286,High Risk,Global Vendor P0015_S1,Global
P0015_S2,Bolivia,0.57760262725,4.957297279214286,High Risk,Global Vendor P0015_S2,Global
P0015_S3,Philippines,0.57760262725,4.957297279214286,High Risk,Global Vendor P0015_S3,Global
P0016_S1,Philippines,0.5397485818823529,5.710109396147058,High Risk,Global Vendor P0016_S1,Global
P0016_S2,North Macedonia,0.5397485818823529,5.710109396147058,High Risk,Global Vendor P0016_S2,Global
P0016_S3,Bosnia and Herzegovina,0.5397485818823529,5.710109396147058,High Risk,Global Vendor P0016_S3,Global
P0016_S4,Romania,0.5397485818823529,5.710109396147058,High Risk,Global Vendor P0016_S4,Global
P0016_S5,Egypt,0.5397485818823529,5.710109396147058,High Risk,Global Vendor P0016_S5,Global
P0017_S1,Brazil,0.468078284125,4.97189111790625,High Risk,Global Vendor P0017_S1,Global
P0017_S2,Sweden,0.468078284125,4.97189111790625,High Risk,Global Vendor P0017_S2,Global
P0017_S3,Czech Republic,0.468078284125,4.97189111790625,High Risk,Global Vendor P0017_S3,Global
P0018_S1,Ukraine,0.4805662010909091,6.171549202454545,High Risk,Global Vendor P0018_S1,Global
P0018_S2,Cambodia,0.4805662010909091,6.171549202454545,High Risk,Global Vendor P0018_S2,Global
P0018_S3,Mexico,0.4805662010909091,6.171549202454545,High Risk,Global Vendor P0018_S3,Global
P0018_S4,Trinidad and Tobago,0.4805662010909091,6.171549202454545,High Risk,Global Vendor P0018_S4,Global
P0018_S5,Hungary,0.4805662010909091,6.171549202454545,High Risk,Global Vendor P0018_S5,Global
P0019_S1,Paraguay,0.38187930631999994,6.06809068112,High Risk,Global Vendor P0019_S1,Global
P0019_S2,Senegal,0.38187930631999994,6.06809068112,High Risk,Global Vendor P0019_S2,Global
P0019_S3,Philippines,0.38187930631999994,6.06809068112,High Risk,Global Vendor P0019_S3,Global
P0020_S1,Germany,0.4272498390333333,5.3043884089999995,High Risk,Global Vendor P0020_S1,Global
P0020_S2,Sweden,0.4272498390333333,5.3043884089999995,High Risk,Global Vendor P0020_S2,Global
P0020_S3,Argentina,0.4272498390333333,5.3043884089999995,High Risk,Global Vendor P0020_S3,Global
P0020_S4,Brazil,0.4272498390333333,5.3043884089999995,High Risk,Global Vendor P0020_S4,Global
P0020_S5,New Zealand,0.4272498390333333,5.3043884089999995,High Risk,Global Vendor P0020_S5,Global
P0021_S1,Mexico,0.5533197972413793,4.643576385689655,High Risk,Global Vendor P0021_S1,Global
P0021_S2,Hungary,0.5533197972413793,4.643576385689655,High Risk,Global Vendor P0021_S2,Global
P0022_S1,Austria,0.3493525087931034,6.839323091379311,High Risk,Global Vendor P0022_S1,Global
P0022_S2,Dominican Republic,0.3493525087931034,6.839323091379311,High Risk,Global Vendor P0022_S2,Global
P0023_S1,India,0.55819785904,4.70032771444,High Risk,Global Vendor P0023_S1,South Asia
P0023_S2,Netherlands,0.55819785904,4.70032771444,High Risk,Global Vendor P0023_S2,Global
P0023_S3,Ecuador,0.55819785904,4.70032771444,High Risk,Global Vendor P0023_S3,Global
P0023_S4,Trinidad and Tobago,0.55819785904,4.70032771444,High Risk,Global Vendor P0023_S4,Global
P0024_S1,Iran,0.4301319078181818,5.5268511290606055,High Risk,Global Vendor P0024_S1,Global
P0024_S2,Romania,0.4301319078181818,5.5268511290606055,High Risk,Global Vendor P0024_S2,Global
P0025_S1,Jordan,0.4976269763055556,4.451286609444444,High Risk,Global Vendor P0025_S1,Global
P0025_S2,Peru,0.4976269763055556,4.451286609444444,High Risk,Global Vendor P0025_S2,Global
P0025_S3,Ireland,0.4976269763055556,4.451286609444444,High Risk,Global Vendor P0025_S3,Global
P0026_S1,Japan,0.55739994892,4.97059924316,High Risk,Global Vendor P0026_S1,Global
P0026_S2,Azerbaijan,0.55739994892,4.97059924316,High Risk,Global Vendor P0026_S2,Global
P0027_S1,Haiti,0.4498853198928571,4.936919431214286,High Risk,Global Vendor P0027_S1,Global
P0027_S2,Egypt,0.4498853198928571,4.936919431214286,High Risk,Global Vendor P0027_S2,Global
P0027_S3,Cuba,0.4498853198928571,4.936919431214286,High Risk,Global Vendor P0027_S3,Global
P0028_S1,Morocco,0.5235334088461538,4.447749766961539,High Risk,Global Vendor P0028_S1,Global
P0028_S2,Ukraine,0.5235334088461538,4.447749766961539,High Risk,Global Vendor P0028_S2,Global
P0029_S1,Myanmar,0.46726999596153845,5.429262286269231,High Risk,Global Vendor P0029_S1,Global
P0029_S2,Malaysia,0.46726999596153845,5.429262286269231,High Risk,Global Vendor P0029_S2,Global
P0029_S3,Germany,0.46726999596153845,5.429262286269231,High Risk,Global Vendor P0029_S3,Global
P0029_S4,Colombia,0.46726999596153845,5.429262286269231,High Risk,Global Vendor P0029_S4,Global
P0030_S1,Pakistan,0.5403038608222221,4.927691285711111,High Risk,Global Vendor P0030_S1,South Asia
P0030_S2,Panama,0.5403038608222221,4.927691285711111,High Risk,Global Vendor P0030_S2,Global
P0031_S1,Kenya,0.5986454626428571,5.652099111035715,High Risk,Global Vendor P0031_S1,Global
P0031_S2,Qatar,0.5986454626428571,5.652099111035715,High Risk,Global Vendor P0031_S2,GCC
P0031_S3,Panama,0.5986454626428571,5.652099111035715,High Risk,Global Vendor P0031_S3,Global
P0032_S1,Ghana,0.5159506286666667,5.151522495575757,High Risk,Global Vendor P0032_S1,Global
P0032_S2,Turkey,0.5159506286666667,5.151522495575757,High Risk,Global Vendor P0032_S2,Global
P0032_S3,Nigeria,0.5159506286666667,5.151522495575757,High Risk,Global Vendor P0032_S3,Global
P0032_S4,South Africa,0.5159506286666667,5.151522495575757,High Risk,Global Vendor P0032_S4,Global
P0033_S1,South Korea,0.4401001569615385,5.3081713265,High Risk,Global Vendor P0033_S1,Global
P0033_S2,Serbia,0.4401001569615385,5.3081713265,High Risk,Global Vendor P0033_S2,Global
P0033_S3,Ghana,0.4401001569615385,5.3081713265,High Risk,Global Vendor P0033_S3,Global
P0034_S1,Serbia,0.4774242515,5.223624151294118,High Risk,Global Vendor P0034_S1,Global
P0034_S2,Portugal,0.4774242515,5.223624151294118,High Risk,Global Vendor P0034_S2,Global
P0034_S3,Austria,0.4774242515,5.223624151294118,High Risk,Global Vendor P0034_S3,Global
P0034_S4,Philippines,0.4774242515,5.223624151294118,High Risk,Global Vendor P0034_S4,Global
P0034_S5,Turkmenistan,0.4774242515,5.223624151294118,High Risk,Global Vendor P0034_S5,Global
P0035_S1,Saudi Arabia,0.5263471181612903,5.42175124483871,High Risk,Global Vendor P0035_S1,GCC
P0035_S2,Switzerland,0.5263471181612903,5.42175124483871,High Risk,Global Vendor P0035_S2,Global
P0035_S3,Senegal,0.5263471181612903,5.42175124483871,High Risk,Global Vendor P0035_S3,Global
P0035_S4,Israel,0.5263471181612903,5.42175124483871,High Risk,Global Vendor P0035_S4,Global
P0035_S5,Pakistan,0.5263471181612903,5.42175124483871,High Risk,Global Vendor P0035_S5,South Asia
P0036_S1,Singapore,0.4868865789047619,4.329966584690476,High Risk,Global Vendor P0036_S1,Global
P0036_S2,Austria,0.4868865789047619,4.329966584690476,High Risk,Global Vendor P0036_S2,Global
P0036_S3,Ireland,0.4868865789047619,4.329966584690476,High Risk,Global Vendor P0036_S3,Global
P0036_S4,Portugal,0.4868865789047619,4.329966584690476,High Risk,Global Vendor P0036_S4,Global
P0036_S5,Nepal,0.4868865789047619,4.329966584690476,High Risk,Global Vendor P0036_S5,South Asia
P0037_S1,Argentina,0.4875997262121212,5.599661006787879,High Risk,Global Vendor P0037_S1,Global
P0037_S2,Trinidad and Tobago,0.4875997262121212,5.599661006787879,High Risk,Global Vendor P0037_S2,Global
P0037_S3,USA,0.4875997262121212,5.599661006787879,High Risk,Global Vendor P0037_S3,Global
P0038_S1,Ghana,0.5472683722352941,5.603669754352942,High Risk,Global Vendor P0038_S1,Global
P0038_S2,Ukraine,0.5472683722352941,5.603669754352942,High Risk,Global Vendor P0038_S2,Global
P0039_S1,Jordan,0.4315852338965517,4.241256031931035,High Risk,Global Vendor P0039_S1,Global
P0039_S2,Panama,0.4315852338965517,4.241256031931035,High Risk,Global Vendor P0039_S2,Global
P0039_S3,Sri Lanka,0.4315852338965517,4.241256031931035,High Risk,Global Vendor P0039_S3,South Asia
P0039_S4,Germany,0.4315852338965517,4.241256031931035,High Risk,Global Vendor P0039_S4,Global
P0039_S5,Romania,0.4315852338965517,4.241256031931035,High Risk,Global Vendor P0039_S5,Global
P0040_S1,Iran,0.4303379004,6.61618453736,High Risk,Global Vendor P0040_S1,Global
P0040_S2,Italy,0.4303379004,6.61618453736,High Risk,Global Vendor P0040_S2,Global
P0040_S3,Greece,0.4303379004,6.61618453736,High Risk,Global Vendor P0040_S3,Global
P0040_S4,Azerbaijan,0.4303379004,6.61618453736,High Risk,Global Vendor P0040_S4,Global
P0040_S5,Vietnam,0.4303379004,6.61618453736,High Risk,Global Vendor P0040_S5,Global
P0041_S1,New Zealand,0.5191342724318182,5.768845678568182,High Risk,Global Vendor P0041_S1,Global
P0041_S2,Philippines,0.5191342724318182,5.768845678568182,High Risk,Global Vendor P0041_S2,Global
P0041_S3,Spain,0.5191342724318182,5.768845678568182,High Risk,Global Vendor P0041_S3,Global
P0041_S4,Paraguay,0.5191342724318182,5.768845678568182,High Risk,Global Vendor P0041_S4,Global
P0042_S1,Bulgaria,0.40210167339285713,5.4497003939285715,High Risk,Global Vendor P0042_S1,Global
P0042_S2,Ethiopia,0.40210167339285713,5.4497003939285715,High Risk,Global Vendor P0042_S2,Global
P0042_S3,Italy,0.40210167339285713,5.4497003939285715,High Risk,Global Vendor P0042_S3,Global
P0042_S4,Bosnia and Herzegovina,0.40210167339285713,5.4497003939285715,High Risk,Global Vendor P0042_S4,Global
P0042_S5,Nigeria,0.40210167339285713,5.4497003939285715,High Risk,Global Vendor P0042_S5,Global
P0043_S1,China,0.4441116446206897,3.991101965,High Risk,Global Vendor P0043_S1,Global
P0043_S2,Israel,0.4441116446206897,3.991101965,High Risk,Global Vendor P0043_S2,Global
P0044_S1,Bangladesh,0.5101080048518519,6.939839255925926,High Risk,Global Vendor P0044_S1,South Asia
P0044_S2,Denmark,0.5101080048518519,6.939839255925926,High Risk,Global Vendor P0044_S2,Global
P0044_S3,Sweden,0.5101080048518519,6.939839255925926,High Risk,Global Vendor P0044_S3,Global
P0044_S4,Ukraine,0.5101080048518519,6.939839255925926,High Risk,Global Vendor P0044_S4,Global
P0044_S5,Mexico,0.5101080048518519,6.939839255925926,High Risk,Global Vendor P0044_S5,Global
P0045_S1,Saudi Arabia,0.4574742884242424,5.713768652515152,High Risk,Global Vendor P0045_S1,GCC
P0045_S2,Pakistan,0.4574742884242424,5.713768652515152,High Risk,Global Vendor P0045_S2,South Asia
P0045_S3,Fiji,0.4574742884242424,5.713768652515152,High Risk,Global Vendor P0045_S3,Global
P0045_S4,Kazakhstan,0.4574742884242424,5.713768652515152,High Risk,Global Vendor P0045_S4,Global
P0045_S5,Oman,0.4574742884242424,5.713768652515152,High Risk,Global Vendor P0045_S5,GCC
P0046_S1,Spain,0.5909558089310344,5.120730123931034,High Risk,Global Vendor P0046_S1,Global
P0046_S2,Vietnam,0.5909558089310344,5.120730123931034,High Risk,Global Vendor P0046_S2,Global
P0046_S3,Bolivia,0.5909558089310344,5.120730123931034,High Risk,Global Vendor P0046_S3,Global
P0046_S4,Romania,0.5909558089310344,5.120730123931034,High Risk,Global Vendor P0046_S4,Global
P0047_S1,Jordan,0.5699547246875,4.32399358,High Risk,Global Vendor P0047_S1,Global
P0047_S2,Tunisia,0.5699547246875,4.32399358,High Risk,Global Vendor P0047_S2,Global
P0047_S3,Norway,0.5699547246875,4.32399358,High Risk,Global Vendor P0047_S3,Global
P0047_S4,Germany,0.5699547246875,4.32399358,High Risk,Global Vendor P0047_S4,Global
P0047_S5,Indonesia,0.5699547246875,4.32399358,High Risk,Global Vendor P0047_S5,Global
P0048_S1,Ethiopia,0.49288990971875,7.32087116209375,High Risk,Global Vendor P0048_S1,Global
P0048_S2,Canada,0.49288990971875,7.32087116209375,High Risk,Global Vendor P0048_S2,Global
P0048_S3,Greece,0.49288990971875,7.32087116209375,High Risk,Global Vendor P0048_S3,Global
P0048_S4,Bangladesh,0.49288990971875,7.32087116209375,High Risk,Global Vendor P0048_S4,South Asia
P0049_S1,Dominican Republic,0.5893847287777777,5.197359304592593,High Risk,Global Vendor P0049_S1,Global
P0049_S2,Colombia,0.5893847287777777,5.197359304592593,High Risk,Global Vendor P0049_S2,Global
P0049_S3,Russia,0.5893847287777777,5.197359304592593,High Risk,Global Vendor P0049_S3,Global
P0049_S4,South Korea,0.5893847287777777,5.197359304592593,High Risk,Global Vendor P0049_S4,Global
P0049_S5,Japan,0.5893847287777777,5.197359304592593,High Risk,Global Vendor P0049_S5,Global
P0050_S1,North Macedonia,0.564040658137931,5.039828008241379,High Risk,Global Vendor P0050_S1,Global
P0050_S2,Papua New Guinea,0.564040658137931,5.039828008241379,High Risk,Global Vendor P0050_S2,Global
P0050_S3,Poland,0.564040658137931,5.039828008241379,High Risk,Global Vendor P0050_S3,Global
P0050_S4,Hungary,0.564040658137931,5.039828008241379,High Risk,Global Vendor P0050_S4,Global
P0051_S1,Qatar,0.38438220596551725,5.418587179137932,High Risk,Global Vendor P0051_S1,GCC
P0051_S2,Mexico,0.38438220596551725,5.418587179137932,High Risk,Global Vendor P0051_S2,Global
P0052_S1,Japan,0.5180086907916667,6.37269053525,High Risk,Global Vendor P0052_S1,Global
P0052_S2,Colombia,0.5180086907916667,6.37269053525,High Risk,Global Vendor P0052_S2,Global
P0052_S3,Slovakia,0.5180086907916667,6.37269053525,High Risk,Global Vendor P0052_S3,Global
P0053_S1,Fiji,0.4995895353939394,6.7620710689090915,High Risk,Global Vendor P0053_S1,Global
P0053_S2,Trinidad and Tobago,0.4995895353939394,6.7620710689090915,High Risk,Global Vendor P0053_S2,Global
P0053_S3,Germany,0.4995895353939394,6.7620710689090915,High Risk,Global Vendor P0053_S3,Global
P0053_S4,Israel,0.4995895353939394,6.7620710689090915,High Risk,Global Vendor P0053_S4,Global
P0054_S1,Denmark,0.5789788244074073,5.772527226259259,High Risk,Global Vendor P0054_S1,Global
P0054_S2,Iran,0.5789788244074073,5.772527226259259,High Risk,Global Vendor P0054_S2,Global
P0054_S3,Senegal,0.5789788244074073,5.772527226259259,High Risk,Global Vendor P0054_S3,Global
P0054_S4,Papua New Guinea,0.5789788244074073,5.772527226259259,High Risk,Global Vendor P0054_S4,Global
P0055_S1,Philippines,0.40358773173076923,6.002770001884615,High Risk,Global Vendor P0055_S1,Global
P0055_S2,Iraq,0.40358773173076923,6.002770001884615,High Risk,Global Vendor P0055_S2,Global
P0055_S3,Bangladesh,0.40358773173076923,6.002770001884615,High Risk,Global Vendor P0055_S3,South Asia
P0056_S1,Italy,0.4324077487741936,5.574894508548388,High Risk,Global Vendor P0056_S1,Global
P0056_S2,Vietnam,0.4324077487741936,5.574894508548388,High Risk,Global Vendor P0056_S2,Global
P0057_S1,Jamaica,0.4870313988823529,5.21963478282353,High Risk,Global Vendor P0057_S1,Global
P0057_S2,Ukraine,0.4870313988823529,5.21963478282353,High Risk,Global Vendor P0057_S2,Global
P0057_S3,Serbia,0.4870313988823529,5.21963478282353,High Risk,Global Vendor P0057_S3,Global
P0057_S4,Turkmenistan,0.4870313988823529,5.21963478282353,High Risk,Global Vendor P0057_S4,Global
P0057_S5,Australia,0.4870313988823529,5.21963478282353,High Risk,Global Vendor P0057_S5,Global
P0058_S1,Georgia,0.530212162,5.201502262846153,High Risk,Global Vendor P0058_S1,Global
P0058_S2,Chile,0.530212162,5.201502262846153,High Risk,Global Vendor P0058_S2,Global
P0059_S1,USA,0.5255555475806452,4.314967078129032,High Risk,Global Vendor P0059_S1,Global
P0059_S2,Ecuador,0.5255555475806452,4.314967078129032,High Risk,Global Vendor P0059_S2,Global
P0060_S1,Hungary,0.5907008150666666,5.571464763933333,High Risk,Global Vendor P0060_S1,Global
P0060_S2,Switzerland,0.5907008150666666,5.571464763933333,High Risk,Global Vendor P0060_S2,Global
P0060_S3,Ukraine,0.5907008150666666,5.571464763933333,High Risk,Global Vendor P0060_S3,Global
P0060_S4,Colombia,0.5907008150666666,5.571464763933333,High Risk,Global Vendor P0060_S4,Global
P0060_S5,Germany,0.5907008150666666,5.571464763933333,High Risk,Global Vendor P0060_S5,Global
P0061_S1,Guatemala,0.3746759559583333,5.5744448725,High Risk,Global Vendor P0061_S1,Global
P0061_S2,Dominican Republic,0.3746759559583333,5.5744448725,High Risk,Global Vendor P0061_S2,Global
P0061_S3,Uzbekistan,0.3746759559583333,5.5744448725,High Risk,Global Vendor P0061_S3,Global
P0061_S4,Haiti,0.3746759559583333,5.5744448725,High Risk,Global Vendor P0061_S4,Global
P0062_S1,Jamaica,0.44233896408333334,5.078898125388889,High Risk,Global Vendor P0062_S1,Global
P0062_S2,Trinidad and Tobago,0.44233896408333334,5.078898125388889,High Risk,Global Vendor P0062_S2,Global
P0063_S1,Panama,0.45125561365,5.3847908449999995,High Risk,Global Vendor P0063_S1,Global
P0063_S2,Tunisia,0.45125561365,5.3847908449999995,High Risk,Global Vendor P0063_S2,Global
P0063_S3,Kyrgyzstan,0.45125561365,5.3847908449999995,High Risk,Global Vendor P0063_S3,Global
P0063_S4,Singapore,0.45125561365,5.3847908449999995,High Risk,Global Vendor P0063_S4,Global
P0064_S1,Philippines,0.49768844056666667,3.5556947407333337,High Risk,Global Vendor P0064_S1,Global
P0064_S2,Papua New Guinea,0.49768844056666667,3.5556947407333337,High Risk,Global Vendor P0064_S2,Global
P0065_S1,Vietnam,0.5920281655588235,5.67901113882353,High Risk,Global Vendor P0065_S1,Global
P0065_S2,Ethiopia,0.5920281655588235,5.67901113882353,High Risk,Global Vendor P0065_S2,Global
P0065_S3,Germany,0.5920281655588235,5.67901113882353,High Risk,Global Vendor P0065_S3,Global
P0065_S4,Tunisia,0.5920281655588235,5.67901113882353,High Risk,Global Vendor P0065_S4,Global
P0066_S1,Italy,0.43120993140625,5.4299151194375,High Risk,Global Vendor P0066_S1,Global
P0066_S2,Azerbaijan,0.43120993140625,5.4299151194375,High Risk,Global Vendor P0066_S2,Global
P0066_S3,Kenya,0.43120993140625,5.4299151194375,High Risk,Global Vendor P0066_S3,Global
P0067_S1,Norway,0.48983500645,5.5815459035,High Risk,Global Vendor P0067_S1,Global
P0067_S2,Colombia,0.48983500645,5.5815459035,High Risk,Global Vendor P0067_S2,Global
P0067_S3,Chile,0.48983500645,5.5815459035,High Risk,Global Vendor P0067_S3,Global
P0067_S4,Ethiopia,0.48983500645,5.5815459035,High Risk,Global Vendor P0067_S4,Global
P0068_S1,Australia,0.541916886882353,6.0687414262941175,High Risk,Global Vendor P0068_S1,Global
P0068_S2,Colombia,0.541916886882353,6.0687414262941175,High Risk,Global Vendor P0068_S2,Global
P0069_S1,Jordan,0.47104800652,4.47617040896,High Risk,Global Vendor P0069_S1,Global
P0069_S2,USA,0.47104800652,4.47617040896,High Risk,Global Vendor P0069_S2,Global
P0069_S3,Russia,0.47104800652,4.47617040896,High Risk,Global Vendor P0069_S3,Global
P0069_S4,Vietnam,0.47104800652,4.47617040896,High Risk,Global Vendor P0069_S4,Global
P0070_S1,Ecuador,0.5475011692647059,6.704515969382353,High Risk,Global Vendor P0070_S1,Global
P0070_S2,UAE,0.5475011692647059,6.704515969382353,High Risk,Global Vendor P0070_S2,GCC
P0071_S1,Belgium,0.4644853555,5.79678274615625,High Risk,Global Vendor P0071_S1,Global
P0071_S2,Italy,0.4644853555,5.79678274615625,High Risk,Global Vendor P0071_S2,Global
P0071_S3,Thailand,0.4644853555,5.79678274615625,High Risk,Global Vendor P0071_S3,Global
P0071_S4,Singapore,0.4644853555,5.79678274615625,High Risk,Global Vendor P0071_S4,Global
P0071_S5,Bolivia,0.4644853555,5.79678274615625,High Risk,Global Vendor P0071_S5,Global
P0072_S1,UK,0.51376651221875,4.8960517639375,High Risk,Global Vendor P0072_S1,Global
P0072_S2,South Korea,0.51376651221875,4.8960517639375,High Risk,Global Vendor P0072_S2,Global
P0072_S3,Ghana,0.51376651221875,4.8960517639375,High Risk,Global Vendor P0072_S3,Global
P0073_S1,Indonesia,0.44585780930769225,4.706234286884615,High Risk,Global Vendor P0073_S1,Global
P0073_S2,Haiti,0.44585780930769225,4.706234286884615,High Risk,Global Vendor P0073_S2,Global
P0073_S3,Thailand,0.44585780930769225,4.706234286884615,High Risk,Global Vendor P0073_S3,Global
P0074_S1,Denmark,0.506161643617647,5.295668690882353,High Risk,Global Vendor P0074_S1,Global
P0074_S2,Qatar,0.506161643617647,5.295668690882353,High Risk,Global Vendor P0074_S2,GCC
P0075_S1,Sri Lanka,0.5647481792962963,4.332196678888889,High Risk,Global Vendor P0075_S1,South Asia
P0075_S2,UK,0.5647481792962963,4.332196678888889,High Risk,Global Vendor P0075_S2,Global
P0075_S3,Japan,0.5647481792962963,4.332196678888889,High Risk,Global Vendor P0075_S3,Global
P0076_S1,Panama,0.5294140133214286,5.310506399571429,High Risk,Global Vendor P0076_S1,Global
P0076_S2,Norway,0.5294140133214286,5.310506399571429,High Risk,Global Vendor P0076_S2,Global
P0077_S1,Serbia,0.39819886615625,6.01372957859375,High Risk,Global Vendor P0077_S1,Global
P0077_S2,Tunisia,0.39819886615625,6.01372957859375,High Risk,Global Vendor P0077_S2,Global
P0077_S3,Russia,0.39819886615625,6.01372957859375,High Risk,Global Vendor P0077_S3,Global
P0077_S4,Saudi Arabia,0.39819886615625,6.01372957859375,High Risk,Global Vendor P0077_S4,GCC
P0078_S1,Ethiopia,0.5746541278064515,4.8331199374193545,High Risk,Global Vendor P0078_S1,Global
P0078_S2,Serbia,0.5746541278064515,4.8331199374193545,High Risk,Global Vendor P0078_S2,Global
P0078_S3,Turkey,0.5746541278064515,4.8331199374193545,High Risk,Global Vendor P0078_S3,Global
P0078_S4,Iran,0.5746541278064515,4.8331199374193545,High Risk,Global Vendor P0078_S4,Global
P0079_S1,Singapore,0.4047423958064516,6.860790799709678,High Risk,Global Vendor P0079_S1,Global
P0079_S2,Russia,0.4047423958064516,6.860790799709678,High Risk,Global Vendor P0079_S2,Global
P0079_S3,Kazakhstan,0.4047423958064516,6.860790799709678,High Risk,Global Vendor P0079_S3,Global
P0080_S1,India,0.4839958157942857,5.1757133334,High Risk,Global Vendor P0080_S1,South Asia
P0080_S2,Germany,0.4839958157942857,5.1757133334,High Risk,Global Vendor P0080_S2,Global
P0081_S1,Hungary,0.4779847958787879,5.98288216569697,High Risk,Global Vendor P0081_S1,Global
P0081_S2,Laos,0.4779847958787879,5.98288216569697,High Risk,Global Vendor P0081_S2,Global
P0081_S3,Costa Rica,0.4779847958787879,5.98288216569697,High Risk,Global Vendor P0081_S3,Global
P0081_S4,Israel,0.4779847958787879,5.98288216569697,High Risk,Global Vendor P0081_S4,Global
P0081_S5,Guatemala,0.4779847958787879,5.98288216569697,High Risk,Global Vendor P0081_S5,Global
P0082_S1,Portugal,0.516260481075,4.186526434625,High Risk,Global Vendor P0082_S1,Global
P0082_S2,Armenia,0.516260481075,4.186526434625,High Risk,Global Vendor P0082_S2,Global
