po_id,supplier_id,product_id,plant_warehouse_id,ordered_qty,received_qty,unit_purchase_cost,po_order_date,po_promised_date,po_dock_delivery_date,procurement_on_time,procurement_in_full,procurement_otif
PO-2024-50014,P0132_S2,P0926,WH_BLR_S,332,332,543.01,2024-06-14,2024-06-19,2024-06-22 00:00:00,0,1,0
PO-2024-50015,P0028_S2,P0198,WH_DOHA_GCC,1647,1647,717.12,2024-06-15,2024-06-19,2024-06-29 00:00:00,0,1,0
PO-2024-50016,P0106_S4,P0565,WH_KOLKATA_E,1444,1444,118.61,2024-06-16,2024-06-21,2024-06-21 00:00:00,1,1,1
PO-2024-50017,P0032_S3,P0316,WH_DELHI_N,1787,1787,702.03,2024-06-17,2024-06-22,2024-06-23 00:00:00,0,1,0
PO-2024-50018,P0103_S2,P0069,WH_DOHA_GCC,1599,1599,100.66,2024-06-18,2024-06-22,2024-06-21 15:00:00,1,1,1
PO-2024-50019,P0045_S2,P0041,WH_DOHA_GCC,1032,1032,245.09,2024-06-19,2024-06-24,2024-07-01 00:00:00,0,1,0
PO-2024-50020,P0040_S2,P0857,WH_BLR_S,554,554,517.4,2024-06-20,2024-06-26,2024-06-29 00:00:00,0,1,0
PO-2024-50021,P0044_S5,P0711,WH_RIYADH_GCC,361,361,753.88,2024-06-21,2024-06-27,2024-06-26 01:00:00,1,1,1
PO-2024-50022,P0090_S3,P0755,WH_KOLKATA_E,1075,1075,607.65,2024-06-22,2024-06-26,2024-06-25 06:00:00,1,1,1
PO-2024-50023,P0076_S2,P0097,WH_NAGPUR_C,374,374,230.67,2024-06-23,2024-06-28,2024-06-29 00:00:00,0,1,0
PO-2024-50024,P0098_S5,P0430,WH_DOHA_GCC,1603,1603,555.71,2024-06-24,2024-06-29,2024-07-04 00:00:00,0,1,0
PO-2024-50025,P0142_S3,P0913,WH_DELHI_N,410,410,649.59,2024-06-25,2024-07-01,2024-07-10 00:00:00,0,1,0
PO-2024-50026,P0119_S4,P0131,WH_RIYADH_GCC,409,409,77.4,2024-06-26,2024-07-01,2024-07-07 00:00:00,0,1,0
PO-2024-50027,P0086_S1,P0027,WH_RIYADH_GCC,370,312,518.27,2024-06-27,2024-07-01,2024-07-02 00:00:00,0,0,0
PO-2024-50028,P0110_S2,P0410,WH_NAGPUR_C,949,949,513.31,2024-06-28,2024-07-03,2024-07-02 13:00:00,1,1,1
PO-2024-50029,P0055_S2,P0666,WH_DOHA_GCC,1015,1015,625.78,2024-06-29,2024-07-05,2024-07-08 00:00:00,0,1,0
PO-2024-50030,P0127_S4,P0530,WH_DELHI_N,498,498,62.31,2024-06-30,2024-07-04,2024-07-05 00:00:00,0,1,0
PO-2024-50031,P0082_S1,P0391,WH_KOLKATA_E,503,503,790.86,2024-07-01,2024-07-05,2024-07-04 16:00:00,1,1,1
PO-2024-50032,P0047_S2,P0545,WH_MUMBAI_W,1516,1382,291.64,2024-07-02,2024-07-06,2024-07-08 00:00:00,0,0,0
PO-2024-50033,P0132_S3,P0364,WH_DELHI_N,721,721,836.32,2024-07-03,2024-07-08,2024-07-18 00:00:00,0,1,0
PO-2024-50034,P0091_S4,P0319,WH_NAGPUR_C,92,92,60.61,2024-07-04,2024-07-07,2024-07-06 05:00:00,1,1,1
PO-2024-50035,P0006_S5,P0131,WH_RIYADH_GCC,1312,1312,77.4,2024-07-05,2024-07-09,2024-07-13 00:00:00,0,1,0
PO-2024-50036,P0074_S2,P0030,WH_KOLKATA_E,1023,1023,388.13,2024-07-06,2024-07-11,2024-07-10 22:00:00,1,1,1
PO-2024-50037,P0069_S2,P0479,WH_DELHI_N,1742,1742,695.64,2024-07-07,2024-07-11,2024-07-12 00:00:00,0,1,0
PO-2024-50038,P0099_S1,P0479,WH_MUMBAI_W,630,630,695.64,2024-07-08,2024-07-13,2024-07-12 03:00:00,1,1,1
PO-2024-50039,P0016_S2,P0867,WH_MUMBAI_W,991,991,780.08,2024-07-09,2024-07-14,2024-07-16 00:00:00,0,1,0
PO-2024-50040,P0137_S1,P0479,WH_BLR_S,434,434,695.64,2024-07-10,2024-07-15,2024-07-17 00:00:00,0,1,0
PO-2024-50041,P0018_S4,P0663,WH_BLR_S,1168,1112,819.02,2024-07-11,2024-07-17,2024-07-23 00:00:00,0,0,0
PO-2024-50042,P0049_S2,P0754,WH_DUBAI_GCC,1457,1457,719.67,2024-07-12,2024-07-17,2024-07-20 00:00:00,0,1,0
PO-2024-50043,P0137_S2,P0783,WH_NAGPUR_C,1975,1975,548.34,2024-07-13,2024-07-18,2024-07-20 00:00:00,0,1,0
PO-2024-50044,P0054_S2,P0231,WH_DOHA_GCC,686,686,595.02,2024-07-14,2024-07-19,2024-07-23 00:00:00,0,1,0
PO-2024-50045,P0134_S1,P0316,WH_DELHI_N,341,341,702.03,2024-07-15,2024-07-20,2024-07-19 20:00:00,1,1,1
PO-2024-50046,P0080_S2,P0663,WH_DELHI_N,1069,1069,819.02,2024-07-16,2024-07-21,2024-07-22 00:00:00,0,1,0
PO-2024-50047,P0054_S4,P0971,WH_DOHA_GCC,113,113,565.97,2024-07-17,2024-07-22,2024-07-23 00:00:00,0,1,0
PO-2024-50048,P0128_S1,P0027,WH_DUBAI_GCC,274,274,518.27,2024-07-18,2024-07-23,2024-07-30 00:00:00,0,1,0
PO-2024-50049,P0050_S2,P0205,WH_RIYADH_GCC,1932,1932,554.68,2024-07-19,2024-07-24,2024-07-23 04:00:00,1,1,1
PO-2024-50050,P0128_S1,P0368,WH_RIYADH_GCC,379,379,818.79,2024-07-20,2024-07-25,2024-07-24 06:00:00,1,1,1
PO-2024-50051,P0016_S4,P0154,WH_DUBAI_GCC,1228,1228,375.75,2024-07-21,2024-07-26,2024-07-25 09:00:00,1,1,1
PO-2024-50052,P0104_S1,P0988,WH_RIYADH_GCC,1202,1202,817.98,2024-07-22,2024-07-26,2024-07-25 04:00:00,1,1,1
PO-2024-50053,P0017_S3,P0391,WH_BLR_S,78,78,790.86,2024-07-23,2024-07-27,2024-07-26 11:00:00,1,1,1
PO-2024-50054,P0071_S4,P0524,WH_DELHI_N,643,643,149.34,2024-07-24,2024-07-29,2024-08-01 00:00:00,0,1,0
PO-2024-50055,P0093_S1,P0247,WH_DUBAI_GCC,1802,1802,38.17,2024-07-25,2024-07-29,2024-07-30 00:00:00,0,1,0
PO-2024-50056,P0040_S2,P0840,WH_DELHI_N,503,503,327.25,2024-07-26,2024-08-01,2024-08-05 00:00:00,0,1,0
PO-2024-50057,P0139_S5,P0673,WH_DOHA_GCC,1361,1361,497.14,2024-07-27,2024-07-31,2024-07-30 01:00:00,1,1,1
PO-2024-50058,P0090_S1,P0041,WH_MUMBAI_W,691,691,245.09,2024-07-28,2024-08-01,2024-08-02 00:00:00,0,1,0
PO-2024-50059,P0041_S1,P0430,WH_BLR_S,457,457,555.71,2024-07-29,2024-08-03,2024-08-05 00:00:00,0,1,0
PO-2024-50060,P0006_S4,P0195,WH_KOLKATA_E,1936,1936,576.86,2024-07-30,2024-08-03,2024-08-08 00:00:00,0,1,0
PO-2024-50061,P0095_S2,P0161,WH_BLR_S,1813,1813,286.46,2024-07-31,2024-08-04,2024-08-03 22:00:00,1,1,1
PO-2024-50062,P0048_S3,P0056,WH_DUBAI_GCC,1217,1217,681.03,2024-08-01,2024-08-08,2024-08-12 00:00:00,0,1,0
PO-2024-50063,P0081_S3,P0131,WH_KOLKATA_E,1794,1794,77.4,2024-08-02,2024-08-07,2024-08-11 00:00:00,0,1,0
PO-2024-50064,P0111_S2,P0633,WH_MUMBAI_W,613,613,487.77,2024-08-03,2024-08-07,2024-08-06 14:00:00,1,1,1
PO-2024-50065,P0029_S1,P0220,WH_DUBAI_GCC,1355,1355,598.71,2024-08-04,2024-08-09,2024-08-08 11:00:00,1,1,1
PO-2024-50066,P0092_S1,P0005,WH_NAGPUR_C,562,562,354.89,2024-08-05,2024-08-10,2024-08-09 03:00:00,1,1,1
PO-2024-50067,P0004_S5,P0867,WH_DELHI_N,713,713,780.08,2024-08-06,2024-08-12,2024-08-14 00:00:00,0,1,0
PO-2024-50068,P0071_S2,P0544,WH_MUMBAI_W,589,589,456.25,2024-08-07,2024-08-12,2024-08-11 03:00:00,1,1,1
PO-2024-50069,P0078_S3,P0297,WH_DELHI_N,82,82,444.77,2024-08-08,2024-08-12,2024-08-17 00:00:00,0,1,0
PO-2024-50070,P0099_S2,P0719,WH_RIYADH_GCC,279,238,234.29,2024-08-09,2024-08-14,2024-08-15 00:00:00,0,0,0
PO-2024-50071,P0017_S1,P0193,WH_NAGPUR_C,1883,1883,358.16,2024-08-10,2024-08-14,2024-08-13 06:00:00,1,1,1
PO-2024-50072,P0110_S2,P0198,WH_NAGPUR_C,483,483,717.12,2024-08-11,2024-08-16,2024-08-19 00:00:00,0,1,0
PO-2024-50073,P0098_S1,P0988,WH_MUMBAI_W,1212,1212,817.98,2024-08-12,2024-08-17,2024-08-16 11:00:00,1,1,1
PO-2024-50074,P0029_S4,P0857,WH_NAGPUR_C,623,623,517.4,2024-08-13,2024-08-18,2024-08-20 00:00:00,0,1,0
PO-2024-50075,P0105_S1,P0491,WH_KOLKATA_E,305,305,57.14,2024-08-14,2024-08-19,2024-08-25 00:00:00,0,1,0
PO-2024-50076,P0127_S4,P0998,WH_NAGPUR_C,149,149,67.47,2024-08-15,2024-08-19,2024-08-22 00:00:00,0,1,0
PO-2024-50077,P0130_S2,P0103,WH_DELHI_N,384,384,129.82,2024-08-16,2024-08-22,2024-08-30 00:00:00,0,1,0
PO-2024-50078,P0123_S3,P0975,WH_DELHI_N,864,864,41.98,2024-08-17,2024-08-23,2024-08-22 01:00:00,1,1,1
PO-2024-50079,P0078_S2,P0998,WH_DUBAI_GCC,695,695,67.47,2024-08-18,2024-08-22,2024-08-21 15:00:00,1,1,1
PO-2024-50080,P0124_S1,P0709,WH_DELHI_N,59,59,483.23,2024-08-19,2024-08-23,2024-08-26 00:00:00,0,1,0
PO-2024-50081,P0011_S4,P0432,WH_DUBAI_GCC,1403,1403,763.81,2024-08-20,2024-08-25,2024-08-26 00:00:00,0,1,0
PO-2024-50082,P0060_S2,P0589,WH_DELHI_N,98,98,287.35,2024-08-21,2024-08-26,2024-08-25 03:00:00,1,1,1
PO-2024-50083,P0025_S3,P0927,WH_KOLKATA_E,953,953,93.89,2024-08-22,2024-08-26,2024-09-02 00:00:00,0,1,0
PO-2024-50084,P0121_S1,P0479,WH_DOHA_GCC,462,462,695.64,2024-08-23,2024-08-26,2024-08-25 15:00:00,1,1,1
PO-2024-50085,P0016_S3,P0247,WH_DUBAI_GCC,1886,1886,38.17,2024-08-24,2024-08-29,2024-08-28 02:00:00,1,1,1
PO-2024-50086,P0103_S2,P0651,WH_BLR_S,1853,1853,234.69,2024-08-25,2024-08-29,2024-08-28 07:00:00,1,1,1
PO-2024-50087,P0111_S2,P0021,WH_RIYADH_GCC,164,164,247.27,2024-08-26,2024-08-30,2024-09-06 00:00:00,0,1,0
PO-2024-50088,P0001_S2,P0030,WH_MUMBAI_W,727,727,388.13,2024-08-27,2024-09-03,2024-09-04 00:00:00,0,1,0
PO-2024-50089,P0112_S1,P0992,WH_DELHI_N,360,360,511.71,2024-08-28,2024-09-01,2024-08-31 19:00:00,1,1,1
PO-2024-50090,P0017_S2,P0479,WH_NAGPUR_C,1150,1150,695.64,2024-08-29,2024-09-02,2024-09-04 00:00:00,0,1,0
PO-2024-50091,P0034_S2,P0139,WH_DOHA_GCC,1534,1534,598.2,2024-08-30,2024-09-04,2024-09-03 12:00:00,1,1,1
PO-2024-50092,P0077_S2,P0011,WH_DELHI_N,869,869,426.56,2024-08-31,2024-09-06,2024-09-11 00:00:00,0,1,0
PO-2024-50093,P0090_S4,P0056,WH_NAGPUR_C,1056,1056,681.03,2024-09-01,2024-09-05,2024-09-04 17:00:00,1,1,1
PO-2024-50094,P0138_S1,P0041,WH_RIYADH_GCC,1665,1665,245.09,2024-09-02,2024-09-07,2024-09-12 00:00:00,0,1,0
PO-2024-50095,P0055_S1,P0218,WH_RIYADH_GCC,645,645,821.34,2024-09-03,2024-09-09,2024-09-10 00:00:00,0,1,0
PO-2024-50096,P0116_S2,P0143,WH_RIYADH_GCC,195,195,633.05,2024-09-04,2024-09-08,2024-09-07 09:00:00,1,1,1
PO-2024-50097,P0063_S3,P0131,WH_NAGPUR_C,1267,1267,77.4,2024-09-05,2024-09-10,2024-09-14 00:00:00,0,1,0
PO-2024-50098,P0014_S2,P0476,WH_DELHI_N,130,130,533.08,2024-09-06,2024-09-10,2024-09-14 00:00:00,0,1,0
PO-2024-50099,P0047_S3,P0492,WH_RIYADH_GCC,1393,1363,691.7,2024-09-07,2024-09-11,2024-09-13 00:00:00,0,0,0
PO-2024-50100,P0058_S2,P0708,WH_KOLKATA_E,536,536,208.63,2024-09-08,2024-09-13,2024-09-12 10:00:00,1,1,1
PO-2024-50101,P0128_S1,P0030,WH_DUBAI_GCC,256,256,388.13,2024-06-01,2024-06-06,2024-06-11 00:00:00,0,1,0
PO-2024-50102,P0139_S4,P0866,WH_NAGPUR_C,1202,1202,559.34,2024-06-02,2024-06-06,2024-06-12 00:00:00,0,1,0
PO-2024-50103,P0080_S1,P0429,WH_NAGPUR_C,662,662,716.11,2024-06-03,2024-06-08,2024-06-09 00:00:00,0,1,0
PO-2024-50104,P0101_S1,P0391,WH_DELHI_N,1526,1526,790.86,2024-06-04,2024-06-09,2024-06-08 21:00:00,1,1,1
PO-2024-50105,P0089_S3,P0228,WH_NAGPUR_C,1008,1008,255.07,2024-06-05,2024-06-10,2024-06-11 00:00:00,0,1,0
PO-2024-50106,P0080_S2,P0840,WH_NAGPUR_C,1021,1021,327.25,2024-06-06,2024-06-11,2024-06-12 00:00:00,0,1,0
PO-2024-50107,P0131_S1,P0711,WH_RIYADH_GCC,1725,1725,753.88,2024-06-07,2024-06-12,2024-06-11 05:00:00,1,1,1
PO-2024-50108,P0133_S1,P0915,WH_DELHI_N,1466,1466,685.78,2024-06-08,2024-06-14,2024-06-13 09:00:00,1,1,1
PO-2024-50109,P0062_S2,P0487,WH_RIYADH_GCC,1217,1217,44.2,2024-06-09,2024-06-14,2024-06-13 20:00:00,1,1,1
PO-2024-50110,P0074_S1,P0449,WH_DUBAI_GCC,602,602,312.65,2024-06-10,2024-06-15,2024-06-24 00:00:00,0,1,0
PO-2024-50111,P0054_S4,P0637,WH_DOHA_GCC,1570,1570,369.81,2024-06-11,2024-06-16,2024-06-23 00:00:00,0,1,0
PO-2024-50112,P0086_S3,P0297,WH_DUBAI_GCC,1735,1586,444.77,2024-06-12,2024-06-16,2024-06-23 00:00:00,0,0,0
PO-2024-50113,P0061_S4,P0487,WH_DOHA_GCC,447,447,44.2,2024-06-13,2024-06-18,2024-06-20 00:00:00,0,1,0
PO-2024-50114,P0060_S4,P0119,WH_RIYADH_GCC,1828,1828,230.2,2024-06-14,2024-06-19,2024-06-18 21:00:00,1,1,1
PO-2024-50115,P0069_S3,P0119,WH_DUBAI_GCC,1424,1424,230.2,2024-06-15,2024-06-19,2024-06-20 00:00:00,0,1,0
PO-2024-50116,P0097_S1,P0642,WH_DELHI_N,610,610,488.03,2024-06-16,2024-06-20,2024-06-19 06:00:00,1,1,1
PO-2024-50117,P0105_S1,P0693,WH_MUMBAI_W,361,361,408.36,2024-06-17,2024-06-22,2024-06-21 21:00:00,1,1,1
PO-2024-50118,P0017_S1,P0160,WH_RIYADH_GCC,875,875,799.31,2024-06-18,2024-06-22,2024-06-21 15:00:00,1,1,1
PO-2024-50119,P0082_S4,P0492,WH_DOHA_GCC,1319,1319,691.7,2024-06-19,2024-06-23,2024-06-22 12:00:00,1,1,1
PO-2024-50120,P0118_S2,P0222,WH_KOLKATA_E,1446,1446,189.04,2024-06-20,2024-06-26,2024-06-28 00:00:00,0,1,0
PO-2024-50121,P0063_S2,P0971,WH_DOHA_GCC,823,823,565.97,2024-06-21,2024-06-26,2024-07-07 00:00:00,0,1,0
PO-2024-50122,P0074_S1,P0554,WH_KOLKATA_E,161,161,731.47,2024-06-22,2024-06-27,2024-06-26 14:00:00,1,1,1
PO-2024-50123,P0054_S2,P0159,WH_NAGPUR_C,436,436,396.66,2024-06-23,2024-06-28,2024-06-27 02:00:00,1,1,1
PO-2024-50124,P0108_S3,P0927,WH_DUBAI_GCC,1409,1409,93.89,2024-06-24,2024-06-29,2024-06-28 06:00:00,1,1,1
PO-2024-50125,P0143_S1,P0642,WH_KOLKATA_E,907,907,488.03,2024-06-25,2024-06-29,2024-07-02 00:00:00,0,1,0
PO-2024-50126,P0013_S4,P0021,WH_DOHA_GCC,855,855,247.27,2024-06-26,2024-07-01,2024-06-30 16:00:00,1,1,1
PO-2024-50127,P0046_S2,P0521,WH_NAGPUR_C,1745,1745,579.83,2024-06-27,2024-07-02,2024-07-05 00:00:00,0,1,0
PO-2024-50128,P0005_S1,P0581,WH_MUMBAI_W,842,842,38.68,2024-06-28,2024-07-02,2024-07-01 13:00:00,1,1,1
PO-2024-50129,P0088_S3,P0884,WH_DELHI_N,1975,1975,284.34,2024-06-29,2024-07-03,2024-07-02 11:00:00,1,1,1
PO-2024-50130,P0020_S2,P0641,WH_DELHI_N,1188,1188,529.5,2024-06-30,2024-07-05,2024-07-04 07:00:00,1,1,1
PO-2024-50131,P0099_S1,P0220,WH_DELHI_N,800,800,598.71,2024-07-01,2024-07-06,2024-07-05 18:00:00,1,1,1
PO-2024-50132,P0094_S4,P0198,WH_KOLKATA_E,1875,1875,717.12,2024-07-02,2024-07-07,2024-07-08 00:00:00,0,1,0
PO-2024-50133,P0003_S4,P0544,WH_MUMBAI_W,1061,1061,456.25,2024-07-03,2024-07-08,2024-07-17 00:00:00,0,1,0
PO-2024-50134,P0098_S5,P0038,WH_KOLKATA_E,658,617,396.7,2024-07-04,2024-07-09,2024-07-12 00:00:00,0,0,0
PO-2024-50135,P0039_S5,P0568,WH_DUBAI_GCC,86,86,756.46,2024-07-05,2024-07-09,2024-07-08 13:00:00,1,1,1
PO-2024-50136,P0142_S3,P0867,WH_KOLKATA_E,1534,1534,780.08,2024-07-06,2024-07-12,2024-07-18 00:00:00,0,1,0
PO-2024-50137,P0041_S2,P0316,WH_MUMBAI_W,696,696,702.03,2024-07-07,2024-07-12,2024-07-11 03:00:00,1,1,1
PO-2024-50138,P0136_S2,P0353,WH_MUMBAI_W,789,789,809.34,2024-07-08,2024-07-11,2024-07-10 13:00:00,1,1,1
PO-2024-50139,P0019_S3,P0160,WH_DUBAI_GCC,1676,1426,799.31,2024-07-09,2024-07-15,2024-07-22 00:00:00,0,0,0
PO-2024-50140,P0042_S1,P0076,WH_MUMBAI_W,107,107,231.26,2024-07-10,2024-07-15,2024-07-14 03:00:00,1,1,1
PO-2024-50141,P0145_S2,P0583,WH_DOHA_GCC,1681,1681,409.12,2024-07-11,2024-07-17,2024-07-16 06:00:00,1,1,1
PO-2024-50142,P0025_S3,P0688,WH_MUMBAI_W,1221,1221,188.94,2024-07-12,2024-07-16,2024-07-15 21:00:00,1,1,1
PO-2024-50143,P0112_S3,P0918,WH_DELHI_N,84,84,434.23,2024-07-13,2024-07-17,2024-07-19 00:00:00,0,1,0
PO-2024-50144,P0047_S4,P0030,WH_DOHA_GCC,1662,1662,388.13,2024-07-14,2024-07-18,2024-07-17 09:00:00,1,1,1
PO-2024-50145,P0120_S4,P0673,WH_DOHA_GCC,1283,1283,497.14,2024-07-15,2024-07-20,2024-07-31 00:00:00,0,1,0
PO-2024-50146,P0084_S5,P0363,WH_DUBAI_GCC,324,324,688.03,2024-07-16,2024-07-20,2024-07-21 00:00:00,0,1,0
PO-2024-50147,P0108_S2,P0476,WH_BLR_S,1914,1914,533.08,2024-07-17,2024-07-22,2024-07-23 00:00:00,0,1,0
PO-2024-50148,P0077_S3,P0347,WH_BLR_S,1724,1724,828.88,2024-07-18,2024-07-24,2024-07-27 00:00:00,0,1,0
PO-2024-50149,P0142_S1,P0449,WH_MUMBAI_W,613,613,312.65,2024-07-19,2024-07-25,2024-07-27 00:00:00,0,1,0
PO-2024-50150,P0067_S3,P0189,WH_DOHA_GCC,234,234,636.13,2024-07-20,2024-07-25,2024-07-24 10:00:00,1,1,1
PO-2024-50151,P0013_S4,P0511,WH_BLR_S,1381,1381,612.62,2024-07-21,2024-07-26,2024-08-02 00:00:00,0,1,0
PO-2024-50152,P0009_S2,P0189,WH_BLR_S,1726,1403,636.13,2024-07-22,2024-07-27,2024-07-31 00:00:00,0,0,0
PO-2024-50153,P0041_S1,P0988,WH_MUMBAI_W,1661,1661,817.98,2024-07-23,2024-07-28,2024-08-08 00:00:00,0,1,0
PO-2024-50154,P0058_S1,P0521,WH_BLR_S,971,971,579.83,2024-07-24,2024-07-29,2024-07-28 09:00:00,1,1,1
PO-2024-50155,P0095_S1,P0466,WH_KOLKATA_E,1767,1767,221.84,2024-07-25,2024-07-29,2024-07-28 17:00:00,1,1,1
PO-2024-50156,P0079_S2,P0627,WH_NAGPUR_C,1422,1422,844.2,2024-07-26,2024-08-01,2024-08-02 00:00:00,0,1,0
PO-2024-50157,P0120_S3,P0852,WH_DUBAI_GCC,1858,1858,661.3,2024-07-27,2024-08-01,2024-08-03 00:00:00,0,1,0
PO-2024-50158,P0011_S2,P0914,WH_NAGPUR_C,56,56,387.45,2024-07-28,2024-08-02,2024-08-01 02:00:00,1,1,1
PO-2024-50159,P0016_S1,P0700,WH_MUMBAI_W,196,196,821.65,2024-07-29,2024-08-03,2024-08-02 08:00:00,1,1,1
PO-2024-50160,P0117_S3,P0909,WH_DELHI_N,1207,1207,330.78,2024-07-30,2024-08-03,2024-08-04 00:00:00,0,1,0
PO-2024-50161,P0019_S2,P0228,WH_DUBAI_GCC,1404,1404,255.07,2024-07-31,2024-08-06,2024-08-05 14:00:00,1,1,1
PO-2024-50162,P0063_S1,P0824,WH_MUMBAI_W,731,731,825.18,2024-08-01,2024-08-06,2024-08-11 00:00:00,0,1,0
PO-2024-50163,P0085_S4,P0276,WH_DOHA_GCC,441,441,659.06,2024-08-02,2024-08-07,2024-08-08 00:00:00,0,1,0
PO-2024-50164,P0032_S2,P0222,WH_DELHI_N,537,479,189.04,2024-08-03,2024-08-08,2024-08-10 00:00:00,0,0,0
PO-2024-50165,P0049_S4,P0620,WH_NAGPUR_C,665,665,118.62,2024-08-04,2024-08-09,2024-08-10 00:00:00,0,1,0
PO-2024-50166,P0103_S2,P0319,WH_MUMBAI_W,409,409,60.61,2024-08-05,2024-08-09,2024-08-08 09:00:00,1,1,1
PO-2024-50167,P0062_S1,P0866,WH_DOHA_GCC,513,513,559.34,2024-08-06,2024-08-11,2024-08-14 00:00:00,0,1,0
PO-2024-50168,P0137_S1,P0581,WH_DUBAI_GCC,1023,1023,38.68,2024-08-07,2024-08-12,2024-08-17 00:00:00,0,1,0
PO-2024-50169,P0011_S4,P0091,WH_DUBAI_GCC,207,207,666.52,2024-08-08,2024-08-13,2024-08-12 14:00:00,1,1,1
PO-2024-50170,P0128_S4,P0491,WH_RIYADH_GCC,276,276,57.14,2024-08-09,2024-08-14,2024-08-21 00:00:00,0,1,0
PO-2024-50171,P0066_S2,P0222,WH_DOHA_GCC,729,729,189.04,2024-08-10,2024-08-15,2024-08-14 20:00:00,1,1,1
PO-2024-50172,P0032_S4,P0222,WH_KOLKATA_E,947,947,189.04,2024-08-11,2024-08-16,2024-08-22 00:00:00,0,1,0
PO-2024-50173,P0124_S1,P0754,WH_BLR_S,1047,1047,719.67,2024-08-12,2024-08-16,2024-08-15 09:00:00,1,1,1
PO-2024-50174,P0133_S1,P0589,WH_DELHI_N,429,429,287.35,2024-08-13,2024-08-19,2024-08-18 21:00:00,1,1,1
PO-2024-50175,P0040_S2,P0195,WH_DOHA_GCC,629,629,576.86,2024-08-14,2024-08-20,2024-08-19 15:00:00,1,1,1
PO-2024-50176,P0076_S1,P0062,WH_RIYADH_GCC,1889,1889,120.59,2024-08-15,2024-08-20,2024-08-24 00:00:00,0,1,0
PO-2024-50177,P0002_S3,P0479,WH_BLR_S,1484,1484,695.64,2024-08-16,2024-08-20,2024-08-19 21:00:00,1,1,1
PO-2024-50178,P0063_S3,P0337,WH_BLR_S,1180,1180,332.13,2024-08-17,2024-08-22,2024-08-21 15:00:00,1,1,1
PO-2024-50179,P0075_S2,P0079,WH_MUMBAI_W,447,447,46.87,2024-08-18,2024-08-22,2024-08-24 00:00:00,0,1,0
PO-2024-50180,P0115_S2,P0161,WH_BLR_S,355,355,286.46,2024-08-19,2024-08-24,2024-08-23 09:00:00,1,1,1
PO-2024-50181,P0103_S1,P0479,WH_KOLKATA_E,310,280,695.64,2024-08-20,2024-08-24,2024-08-26 00:00:00,0,0,0
PO-2024-50182,P0083_S3,P0915,WH_DUBAI_GCC,516,516,685.78,2024-08-21,2024-08-26,2024-09-02 00:00:00,0,1,0
PO-2024-50183,P0113_S1,P0408,WH_RIYADH_GCC,1350,1350,169.65,2024-08-22,2024-08-26,2024-09-02 00:00:00,0,1,0
PO-2024-50184,P0060_S3,P0688,WH_BLR_S,666,666,188.94,2024-08-23,2024-08-28,2024-08-27 20:00:00,1,1,1
PO-2024-50185,P0005_S1,P0479,WH_MUMBAI_W,1889,1889,695.64,2024-08-24,2024-08-28,2024-08-27 07:00:00,1,1,1
PO-2024-50186,P0099_S2,P0408,WH_KOLKATA_E,1044,1007,169.65,2024-08-25,2024-08-30,2024-09-08 00:00:00,0,0,0
PO-2024-50187,P0013_S5,P0893,WH_NAGPUR_C,1202,1202,569.66,2024-08-26,2024-08-31,2024-08-30 21:00:00,1,1,1
