order_id,product_id,warehouse_id,ordered_qty,base_purchase_cost,freight_cost,handling_cost,customs_tariff_cost,total_landed_cost,unit_landed_cost
ORD-2024-10049,P0205,WH_MUMBAI_W,16,8874.88,589.16,68.85,0.0,9532.89,595.81
ORD-2024-10050,P0368,WH_MUMBAI_W,5,4093.95,378.35,21.51,0.0,4493.81,898.76
ORD-2024-10051,P0154,WH_NAGPUR_C,12,4509.0,324.08,51.64,0.0,4884.72,407.06
ORD-2024-10052,P0988,WH_DELHI_N,26,21267.48,1214.17,111.88,0.0,22593.53,868.98
ORD-2024-10053,P0391,WH_BLR_S,15,11862.9,856.8,64.54,0.0,12784.24,852.28
ORD-2024-10054,P0524,WH_BLR_S,3,448.02,1161.37,12.91,0.0,1622.3,540.77
ORD-2024-10055,P0247,WH_KOLKATA_E,9,343.53000000000003,1065.7,38.73,0.0,1447.96,160.88
ORD-2024-10056,P0840,WH_NAGPUR_C,28,9163.0,1066.02,120.48,0.0,10349.5,369.62
ORD-2024-10057,P0673,WH_DELHI_N,39,19388.46,1200.32,167.82,0.0,20756.6,532.22
ORD-2024-10058,P0041,WH_MUMBAI_W,36,8823.24,484.65,154.91,0.0,9462.8,262.86
ORD-2024-10059,P0430,WH_KOLKATA_E,25,13892.75,1045.11,107.57,0.0,15045.43,601.82
ORD-2024-10060,P0195,WH_KOLKATA_E,41,23651.260000000002,437.93,176.42,0.0,24265.61,591.84
ORD-2024-10061,P0161,WH_NAGPUR_C,28,8020.879999999999,289.36,120.48,0.0,8430.72,301.1
ORD-2024-10062,P0056,WH_MUMBAI_W,47,32008.41,1370.53,202.24,0.0,33581.18,714.49
ORD-2024-10063,P0131,WH_DELHI_N,21,1625.4,1315.6,90.36,0.0,3031.36,144.35
ORD-2024-10064,P0633,WH_KOLKATA_E,29,14145.33,1292.86,124.79,0.0,15562.98,536.65
ORD-2024-10065,P0220,WH_MUMBAI_W,25,14967.75,668.59,107.57,0.0,15743.91,629.76
ORD-2024-10066,P0005,WH_DELHI_N,30,10646.699999999999,1287.23,129.09,0.0,12063.02,402.1
ORD-2024-10067,P0867,WH_KOLKATA_E,39,30423.120000000003,555.64,167.82,0.0,31146.58,798.63
ORD-2024-10068,P0544,WH_KOLKATA_E,11,5018.75,632.88,47.33,0.0,5698.96,518.09
ORD-2024-10069,P0297,WH_DELHI_N,19,8450.63,736.82,81.76,0.0,9269.21,487.85
ORD-2024-10070,P0719,WH_NAGPUR_C,11,2577.19,1195.59,47.33,0.0,3820.11,347.28
ORD-2024-10071,P0193,WH_BLR_S,25,8954.0,460.75,107.57,0.0,9522.32,380.89
ORD-2024-10072,P0198,WH_BLR_S,1,717.12,173.54,4.3,0.0,894.96,894.96
ORD-2024-10073,P0988,WH_DELHI_N,32,26175.36,526.11,137.69,0.0,26839.16,838.72
ORD-2024-10074,P0857,WH_DELHI_N,21,10865.4,885.11,90.36,0.0,11840.87,563.85
ORD-2024-10075,P0491,WH_DELHI_N,45,2571.3,599.99,193.63,0.0,3364.92,74.78
ORD-2024-10076,P0998,WH_MUMBAI_W,13,877.11,1152.79,55.94,0.0,2085.84,160.45
ORD-2024-10077,P0103,WH_BLR_S,34,4413.88,272.8,146.3,0.0,4832.98,142.15
ORD-2024-10078,P0975,WH_KOLKATA_E,17,713.66,1070.19,73.15,0.0,1857.0,109.24
ORD-2024-10079,P0998,WH_MUMBAI_W,47,3171.09,604.06,202.24,0.0,3977.39,84.63
ORD-2024-10080,P0709,WH_BLR_S,19,9181.37,398.73,81.76,0.0,9661.86,508.52
ORD-2024-10081,P0432,WH_KOLKATA_E,10,7638.099999999999,470.66,43.03,0.0,8151.79,815.18
ORD-2024-10082,P0589,WH_KOLKATA_E,42,12068.7,470.79,180.72,0.0,12720.21,302.86
ORD-2024-10083,P0927,WH_NAGPUR_C,9,845.01,1458.24,38.73,0.0,2341.98,260.22
ORD-2024-10084,P0479,WH_NAGPUR_C,11,7652.04,551.44,47.33,0.0,8250.81,750.07
ORD-2024-10085,P0247,WH_BLR_S,38,1450.46,1260.86,163.51,0.0,2874.83,75.65
ORD-2024-10086,P0651,WH_BLR_S,31,7275.39,498.31,133.39,0.0,7907.09,255.07
ORD-2024-10087,P0021,WH_KOLKATA_E,2,494.54,172.6,8.61,0.0,675.75,337.88
ORD-2024-10088,P0030,WH_BLR_S,24,9315.119999999999,95.6674,103.27,0.0,9514.06,396.42
ORD-2024-10089,P0992,WH_KOLKATA_E,42,21491.82,665.04,180.72,0.0,22337.58,531.85
ORD-2024-10090,P0479,WH_KOLKATA_E,47,32695.079999999998,1432.59,202.24,0.0,34329.91,730.42
ORD-2024-10091,P0139,WH_KOLKATA_E,5,2991.0,1049.98,21.51,0.0,4062.49,812.5
ORD-2024-10092,P0011,WH_KOLKATA_E,30,12796.8,1045.27,129.09,0.0,13971.16,465.71
ORD-2024-10093,P0056,WH_NAGPUR_C,39,26560.17,743.23,167.82,0.0,27471.22,704.39
ORD-2024-10094,P0041,WH_DELHI_N,35,8578.15,520.63,150.6,0.0,9249.38,264.27
ORD-2024-10095,P0218,WH_MUMBAI_W,48,39424.32,1065.84,206.54,0.0,40696.7,847.85
ORD-2024-10096,P0143,WH_KOLKATA_E,17,10761.849999999999,1013.37,73.15,0.0,11848.37,696.96
ORD-2024-10097,P0131,WH_MUMBAI_W,31,2399.4,277.66,133.39,0.0,2810.45,90.66
ORD-2024-10098,P0476,WH_KOLKATA_E,2,1066.16,1016.88,8.61,0.0,2091.65,1045.82
ORD-2024-10099,P0492,WH_MUMBAI_W,16,11067.2,1062.21,68.85,0.0,12198.26,762.39
ORD-2024-10100,P0708,WH_MUMBAI_W,21,4381.23,717.99,90.36,0.0,5189.58,247.12
ORD-2024-10101,P0030,WH_MUMBAI_W,30,11643.9,729.91,129.09,0.0,12502.9,416.76
ORD-2024-10102,P0866,WH_KOLKATA_E,1,559.34,1323.84,4.3,0.0,1887.48,1887.48
ORD-2024-10103,P0429,WH_NAGPUR_C,14,10025.54,738.52,60.24,0.0,10824.3,773.16
ORD-2024-10104,P0391,WH_BLR_S,16,12653.76,494.92,68.85,0.0,13217.53,826.1
ORD-2024-10105,P0228,WH_MUMBAI_W,9,2295.63,1322.21,38.73,0.0,3656.57,406.29
ORD-2024-10106,P0840,WH_BLR_S,49,16035.25,1632.7206,210.85,0.0,17878.82,364.87
ORD-2024-10107,P0711,WH_MUMBAI_W,8,6031.04,412.45,34.42,0.0,6477.91,809.74
ORD-2024-10108,P0915,WH_NAGPUR_C,9,6172.0199999999995,657.46,38.73,0.0,6868.21,763.13
ORD-2024-10109,P0487,WH_DELHI_N,34,1502.8000000000002,203.23,146.3,0.0,1852.33,54.48
ORD-2024-10110,P0449,WH_MUMBAI_W,45,14069.249999999998,898.65,193.63,0.0,15161.53,336.92
ORD-2024-10111,P0637,WH_KOLKATA_E,33,12203.73,560.07,142.0,0.0,12905.8,391.08
ORD-2024-10112,P0297,WH_BLR_S,22,9784.939999999999,1305.19,94.67,0.0,11184.8,508.4
ORD-2024-10113,P0487,WH_BLR_S,30,1326.0,1376.46,129.09,0.0,2831.55,94.38
ORD-2024-10114,P0119,WH_MUMBAI_W,7,1611.3999999999999,210.9,30.12,0.0,1852.42,264.63
ORD-2024-10115,P0119,WH_NAGPUR_C,18,4143.599999999999,1427.53,77.45,0.0,5648.58,313.81
ORD-2024-10116,P0642,WH_BLR_S,21,10248.63,561.77,90.36,0.0,10900.76,519.08
ORD-2024-10117,P0693,WH_BLR_S,5,2041.8000000000002,578.17,21.51,0.0,2641.48,528.3
ORD-2024-10118,P0160,WH_NAGPUR_C,7,5595.17,1425.33,30.12,0.0,7050.62,1007.23
ORD-2024-10119,P0492,WH_MUMBAI_W,12,8300.400000000001,620.72,51.64,0.0,8972.76,747.73
ORD-2024-10120,P0222,WH_MUMBAI_W,17,3213.68,95.6674,73.15,0.0,3382.5,198.97
ORD-2024-10121,P0971,WH_KOLKATA_E,24,13583.28,146.97,103.27,0.0,13833.52,576.4
ORD-2024-10122,P0554,WH_DELHI_N,37,27064.39,566.01,159.21,0.0,27789.61,751.07
ORD-2024-10123,P0159,WH_DELHI_N,44,17453.04,1424.88,189.33,0.0,19067.25,433.35
ORD-2024-10124,P0927,WH_DELHI_N,19,1783.91,183.79,81.76,0.0,2049.46,107.87
ORD-2024-10125,P0642,WH_BLR_S,45,21961.35,320.87,193.63,0.0,22475.85,499.46
ORD-2024-10126,P0021,WH_DELHI_N,16,3956.32,1588.78,68.85,0.0,5613.95,350.87
ORD-2024-10127,P0521,WH_KOLKATA_E,25,14495.750000000002,740.6,107.57,0.0,15343.92,613.76
ORD-2024-10128,P0581,WH_DELHI_N,27,1044.36,1434.54,116.18,0.0,2595.08,96.11
ORD-2024-10129,P0884,WH_NAGPUR_C,42,11942.279999999999,618.71,180.72,0.0,12741.71,303.37
ORD-2024-10130,P0641,WH_KOLKATA_E,44,23298.0,873.47,189.33,0.0,24360.8,553.65
ORD-2024-10131,P0220,WH_DELHI_N,7,4190.97,1463.55,30.12,0.0,5684.64,812.09
ORD-2024-10132,P0198,WH_DELHI_N,46,32987.52,1559.63,197.94,0.0,34745.09,755.33
ORD-2024-10133,P0544,WH_DELHI_N,42,19162.5,346.34,180.72,0.0,19689.56,468.8
ORD-2024-10134,P0038,WH_MUMBAI_W,8,3173.6,1039.0,34.42,0.0,4247.02,530.88
ORD-2024-10135,P0568,WH_MUMBAI_W,15,11346.900000000001,799.09,64.54,0.0,12210.53,814.04
ORD-2024-10136,P0867,WH_KOLKATA_E,16,12481.28,310.66,68.85,0.0,12860.79,803.8
ORD-2024-10137,P0316,WH_MUMBAI_W,8,5616.24,245.29,34.42,0.0,5895.95,736.99
ORD-2024-10138,P0353,WH_DELHI_N,36,29136.24,909.11,154.91,0.0,30200.26,838.9
ORD-2024-10139,P0160,WH_BLR_S,32,25577.92,367.67,137.69,0.0,26083.28,815.1
ORD-2024-10140,P0076,WH_DELHI_N,17,3931.42,1467.43,73.15,0.0,5472.0,321.88
ORD-2024-10141,P0583,WH_KOLKATA_E,36,14728.32,602.91,154.91,0.0,15486.14,430.17
ORD-2024-10142,P0688,WH_DELHI_N,22,4156.68,705.04,94.67,0.0,4956.39,225.29
ORD-2024-10143,P0918,WH_MUMBAI_W,32,13895.36,1193.0,137.69,0.0,15226.05,475.81
ORD-2024-10144,P0030,WH_KOLKATA_E,11,4269.43,845.38,47.33,0.0,5162.14,469.29
ORD-2024-10145,P0673,WH_MUMBAI_W,45,22371.3,734.85,193.63,0.0,23299.78,517.77
ORD-2024-10146,P0363,WH_KOLKATA_E,6,4128.18,1038.84,25.82,0.0,5192.84,865.47
ORD-2024-10147,P0476,WH_DELHI_N,22,11727.76,422.39,94.67,0.0,12244.82,556.58
ORD-2024-10148,P0347,WH_BLR_S,14,11604.32,978.21,60.24,0.0,12642.77,903.06
ORD-2024-10149,P0449,WH_DELHI_N,28,8754.199999999999,1591.97,120.48,0.0,10466.65,373.81
ORD-2024-10150,P0189,WH_DELHI_N,39,24809.07,1355.05,167.82,0.0,26331.94,675.18
ORD-2024-10151,P0511,WH_NAGPUR_C,12,7351.4400000000005,634.78,51.64,0.0,8037.86,669.82
ORD-2024-10152,P0189,WH_NAGPUR_C,27,17175.51,1497.18,116.18,0.0,18788.87,695.88
ORD-2024-10153,P0988,WH_DELHI_N,1,817.98,1401.08,4.3,0.0,2223.36,2223.36
ORD-2024-10154,P0521,WH_KOLKATA_E,10,5798.3,467.43,43.03,0.0,6308.76,630.88
ORD-2024-10155,P0466,WH_BLR_S,33,7320.72,1547.37,142.0,0.0,9010.09,273.03
ORD-2024-10156,P0627,WH_KOLKATA_E,16,13507.2,938.86,68.85,0.0,14514.91,907.18
ORD-2024-10157,P0852,WH_MUMBAI_W,39,25790.699999999997,1564.39,167.82,0.0,27522.91,705.72
ORD-2024-10158,P0914,WH_BLR_S,6,2324.7,1056.6,25.82,0.0,3407.12,567.85
ORD-2024-10159,P0700,WH_NAGPUR_C,25,20541.25,291.43,107.57,0.0,20940.25,837.61
ORD-2024-10160,P0909,WH_DELHI_N,20,6615.599999999999,346.65,86.06,0.0,7048.31,352.42
ORD-2024-10161,P0228,WH_KOLKATA_E,36,9182.52,819.43,154.91,0.0,10156.86,282.14
ORD-2024-10162,P0824,WH_MUMBAI_W,23,18979.14,174.48,98.97,0.0,19252.59,837.07
ORD-2024-10163,P0276,WH_KOLKATA_E,16,10544.96,1244.03,68.85,0.0,11857.84,741.12
ORD-2024-10164,P0222,WH_MUMBAI_W,1,189.04,543.11,4.3,0.0,736.45,736.45
ORD-2024-10165,P0620,WH_MUMBAI_W,30,3558.6000000000004,95.6674,129.09,0.0,3783.36,126.11
ORD-2024-10166,P0319,WH_DELHI_N,27,1636.47,981.76,116.18,0.0,2734.41,101.27
ORD-2024-10167,P0866,WH_MUMBAI_W,2,1118.68,967.28,8.61,0.0,2094.57,1047.29
ORD-2024-10168,P0581,WH_BLR_S,48,1856.6399999999999,316.67,206.54,0.0,2379.85,49.58
ORD-2024-10169,P0091,WH_DELHI_N,21,13996.92,296.34,90.36,0.0,14383.62,684.93
ORD-2024-10170,P0491,WH_KOLKATA_E,9,514.26,1299.58,38.73,0.0,1852.57,205.84
ORD-2024-10171,P0222,WH_MUMBAI_W,47,8884.88,325.49,202.24,0.0,9412.61,200.27
ORD-2024-10172,P0222,WH_BLR_S,24,4536.96,163.39,103.27,0.0,4803.62,200.15
ORD-2024-10173,P0754,WH_DELHI_N,48,34544.159999999996,1615.5,206.54,0.0,36366.2,757.63
ORD-2024-10174,P0589,WH_NAGPUR_C,41,11781.35,512.16,176.42,0.0,12469.93,304.14
ORD-2024-10175,P0195,WH_NAGPUR_C,39,22497.54,1421.59,167.82,0.0,24086.95,617.61
ORD-2024-10176,P0062,WH_KOLKATA_E,42,5064.78,656.52,180.72,0.0,5902.02,140.52
ORD-2024-10177,P0479,WH_BLR_S,7,4869.48,1519.4,30.12,0.0,6419.0,917.0
ORD-2024-10178,P0337,WH_NAGPUR_C,30,9963.9,767.02,129.09,0.0,10860.01,362.0
ORD-2024-10179,P0079,WH_BLR_S,45,2109.15,1246.96,193.63,0.0,3549.74,78.88
ORD-2024-10180,P0161,WH_BLR_S,2,572.92,1521.58,8.61,0.0,2103.11,1051.56
ORD-2024-10181,P0479,WH_BLR_S,12,8347.68,550.21,51.64,0.0,8949.53,745.79
ORD-2024-10182,P0915,WH_KOLKATA_E,13,8915.14,240.22,55.94,0.0,9211.3,708.56
ORD-2024-10183,P0408,WH_MUMBAI_W,3,508.95000000000005,788.27,12.91,0.0,1310.13,436.71
ORD-2024-10184,P0688,WH_BLR_S,43,8124.42,1159.92,185.03,0.0,9469.37,220.22
ORD-2024-10185,P0479,WH_DELHI_N,40,27825.6,1022.32,172.12,0.0,29020.04,725.5
ORD-2024-10186,P0408,WH_NAGPUR_C,43,7294.95,1393.41,185.03,0.0,8873.39,206.36
ORD-2024-10187,P0893,WH_DELHI_N,18,10253.88,404.76,77.45,0.0,10736.09,596.45
ORD-2024-10188,P0300,WH_KOLKATA_E,39,15751.32,230.07,167.82,0.0,16149.21,414.08
ORD-2024-10189,P0583,WH_DELHI_N,44,18001.28,434.23,189.33,0.0,18624.84,423.29
ORD-2024-10190,P0809,WH_MUMBAI_W,6,1673.52,349.97,25.82,0.0,2049.31,341.55
ORD-2024-10191,P0992,WH_BLR_S,42,21491.82,624.11,180.72,0.0,22296.65,530.87
ORD-2024-10192,P0962,WH_DELHI_N,27,3282.66,619.11,116.18,0.0,4017.95,148.81
ORD-2024-10193,P0918,WH_DELHI_N,15,6513.450000000001,552.68,64.54,0.0,7130.67,475.38
ORD-2024-10194,P0581,WH_KOLKATA_E,15,580.2,314.08,64.54,0.0,958.82,63.92
ORD-2024-10195,P0332,WH_DELHI_N,19,12089.699999999999,914.09,81.76,0.0,13085.55,688.71
ORD-2024-10196,P0663,WH_KOLKATA_E,38,31122.76,1317.81,163.51,0.0,32604.08,858.0
ORD-2024-10197,P0220,WH_NAGPUR_C,47,28139.370000000003,1451.52,202.24,0.0,29793.13,633.9
ORD-2024-10198,P0565,WH_BLR_S,20,2372.2,539.56,86.06,0.0,2997.82,149.89
ORD-2024-10199,P0364,WH_NAGPUR_C,20,16726.4,1102.8,86.06,0.0,17915.26,895.76
ORD-2024-10200,P0716,WH_MUMBAI_W,18,6681.06,948.68,77.45,0.0,7707.19,428.18
ORD-2024-10201,P0909,WH_DELHI_N,34,11246.519999999999,1521.9,146.3,0.0,12914.72,379.84
ORD-2024-10202,P0189,WH_KOLKATA_E,39,24809.07,1162.49,167.82,0.0,26139.38,670.24
ORD-2024-10203,P0712,WH_KOLKATA_E,37,9464.6,468.0,159.21,0.0,10091.81,272.75
ORD-2024-10204,P0084,WH_KOLKATA_E,35,28671.3,538.48,150.6,0.0,29360.38,838.87
ORD-2024-10205,P0581,WH_KOLKATA_E,38,1469.84,1058.57,163.51,0.0,2691.92,70.84
ORD-2024-10206,P0994,WH_BLR_S,38,12760.78,1196.49,163.51,0.0,14120.78,371.6
ORD-2024-10207,P0511,WH_KOLKATA_E,1,612.62,174.12,4.3,0.0,791.04,791.04
ORD-2024-10208,P0159,WH_MUMBAI_W,12,4759.92,1060.03,51.64,0.0,5871.59,489.3
ORD-2024-10209,P0125,WH_NAGPUR_C,5,962.65,439.54,21.51,0.0,1423.7,284.74
ORD-2024-10210,P0430,WH_DELHI_N,27,15004.170000000002,1608.49,116.18,0.0,16728.84,619.59
ORD-2024-10211,P0316,WH_DELHI_N,39,27379.17,1594.42,167.82,0.0,29141.41,747.22
ORD-2024-10212,P0084,WH_KOLKATA_E,20,16383.599999999999,1427.26,86.06,0.0,17896.92,894.85
ORD-2024-10213,P0568,WH_KOLKATA_E,40,30258.4,1519.87,172.12,0.0,31950.39,798.76
ORD-2024-10214,P0084,WH_NAGPUR_C,19,15564.419999999998,1624.36,81.76,0.0,17270.54,908.98
ORD-2024-10215,P0584,WH_KOLKATA_E,38,18242.28,593.62,163.51,0.0,18999.41,499.98
ORD-2024-10216,P0297,WH_BLR_S,15,6671.549999999999,900.03,64.54,0.0,7636.12,509.07
ORD-2024-10217,P0824,WH_NAGPUR_C,6,4951.08,292.75,25.82,0.0,5269.65,878.28
ORD-2024-10218,P0084,WH_NAGPUR_C,9,7372.62,770.61,38.73,0.0,8181.96,909.11
ORD-2024-10219,P0857,WH_DELHI_N,36,18626.399999999998,301.24,154.91,0.0,19082.55,530.07
ORD-2024-10220,P0430,WH_NAGPUR_C,48,26674.08,1209.36,206.54,0.0,28089.98,585.21
ORD-2024-10221,P0998,WH_BLR_S,23,1551.81,155.2,98.97,0.0,1805.98,78.52
ORD-2024-10222,P0188,WH_BLR_S,10,8008.8,1403.76,43.03,0.0,9455.59,945.56
ORD-2024-10223,P0915,WH_DELHI_N,1,685.78,1434.79,4.3,0.0,2124.87,2124.87
ORD-2024-10224,P0458,WH_DELHI_N,11,8973.8,1505.89,47.33,0.0,10527.02,957.0
ORD-2024-10225,P0261,WH_DELHI_N,49,21564.41,232.45,210.85,0.0,22007.71,449.14
ORD-2024-10226,P0430,WH_MUMBAI_W,20,11114.2,1241.57,86.06,0.0,12441.83,622.09
ORD-2024-10227,P0041,WH_NAGPUR_C,28,6862.52,469.01,120.48,0.0,7452.01,266.14
ORD-2024-10228,P0220,WH_NAGPUR_C,22,13171.62,360.52,94.67,0.0,13626.81,619.4
ORD-2024-10229,P0909,WH_KOLKATA_E,20,6615.599999999999,1243.9,86.06,0.0,7945.56,397.28
ORD-2024-10230,P0809,WH_BLR_S,47,13109.240000000002,370.85,202.24,0.0,13682.33,291.11
ORD-2024-10231,P0909,WH_NAGPUR_C,38,12569.64,1509.69,163.51,0.0,14242.84,374.81
ORD-2024-10232,P0608,WH_NAGPUR_C,16,13364.64,1399.6,68.85,0.0,14833.09,927.07
ORD-2024-10233,P0070,WH_KOLKATA_E,2,1062.14,943.73,8.61,0.0,2014.48,1007.24
ORD-2024-10234,P0584,WH_BLR_S,25,12001.5,697.47,107.57,0.0,12806.54,512.26
ORD-2024-10235,P0693,WH_NAGPUR_C,27,11025.720000000001,1414.47,116.18,0.0,12556.37,465.05
ORD-2024-10236,P0876,WH_BLR_S,3,1325.49,1273.02,12.91,0.0,2611.42,870.47
ORD-2024-10237,P0097,WH_KOLKATA_E,23,5305.41,281.04,98.97,0.0,5685.42,247.19
ORD-2024-10238,P0218,WH_NAGPUR_C,32,26282.88,724.06,137.69,0.0,27144.63,848.27
ORD-2024-10239,P0150,WH_DELHI_N,17,3817.01,687.64,73.15,0.0,4577.8,269.28
ORD-2024-10240,P0893,WH_BLR_S,40,22786.399999999998,1367.49,172.12,0.0,24326.01,608.15
ORD-2024-10241,P0279,WH_BLR_S,20,13854.400000000001,1453.98,86.06,0.0,15394.44,769.72
ORD-2024-10242,P0809,WH_MUMBAI_W,30,8367.6,876.99,129.09,0.0,9373.68,312.46
ORD-2024-10243,P0637,WH_DELHI_N,28,10354.68,415.26,120.48,0.0,10890.42,388.94
ORD-2024-10244,P0904,WH_DELHI_N,47,10412.38,1029.95,202.24,0.0,11644.57,247.76
ORD-2024-10245,P0135,WH_BLR_S,45,27443.25,822.95,193.63,0.0,28459.83,632.44
ORD-2024-10246,P0476,WH_BLR_S,23,12260.84,863.26,98.97,0.0,13223.07,574.92
ORD-2024-10247,P0824,WH_MUMBAI_W,19,15678.419999999998,1500.68,81.76,0.0,17260.86,908.47
ORD-2024-10248,P0357,WH_NAGPUR_C,25,12139.75,1551.92,107.57,0.0,13799.24,551.97
ORD-2024-10249,P0230,WH_KOLKATA_E,24,8414.880000000001,805.61,103.27,0.0,9323.76,388.49
ORD-2024-10250,P0300,WH_BLR_S,1,403.88,1413.34,4.3,0.0,1821.52,1821.52
ORD-2024-10251,P0202,WH_MUMBAI_W,28,8076.04,506.42,120.48,0.0,8702.94,310.82
ORD-2024-10252,P0824,WH_MUMBAI_W,29,23930.219999999998,380.41,124.79,0.0,24435.42,842.6
ORD-2024-10253,P0719,WH_DELHI_N,44,10308.76,1129.26,189.33,0.0,11627.35,264.26
ORD-2024-10254,P0458,WH_NAGPUR_C,35,28553.0,920.2,150.6,0.0,29623.8,846.39
ORD-2024-10255,P0673,WH_KOLKATA_E,17,8451.38,1214.35,73.15,0.0,9738.88,572.88
ORD-2024-10256,P0022,WH_MUMBAI_W,11,6370.65,259.23,47.33,0.0,6677.21,607.02
